Item type;Authors;Title;Journal;Publication year;Volume;Issue;Pages;Publisher;Address;Book title;Proceedings title;Conference location;Date published;ISBN;ISSN;URLs;DOI;Abstract;Keywords;Notes;Series
Conference Paper;Farkas KI,Flinn J,Back G,Grunwald D,Anderson JM;Quantifying the Energy Consumption of a Pocket Computer and a Java Virtual Machine;;2000;;;252–263;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 2000 ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems;Santa Clara, California, USA;2000;9,78158E+12;;"https://doi.org/10.1145/339331.339421;http://dx.doi.org/10.1145/339331.339421";10.1145/339331.339421;In this paper, we examine the energy consumption of a state-of-the-art pocket computer. Using a data acquisition system, we measure the energy consumption of the Itsy Pocket Computer, developed by Compaq Computer Corporation's Palo Alto Research Labs. We begin by showing that the energy usage characteristics of the Itsy differ markedly from that of a notebook computer. Then, since we expect that flexible software environments will become increasingly prevalent on pocket computers, we consider applications running in a Java environment. In particular, we explain some of the Java design tradeoffs applicable to pocket computers, and quantify their energy costs. For the design options we considered and the three workloads we studied, we find a maximum change in energy use of 25%.;;;SIGMETRICS '00
Journal Article;Farkas KI,Flinn J,Back G,Grunwald D,Anderson JM;Quantifying the Energy Consumption of a Pocket Computer and a Java Virtual Machine;SIGMETRICS Perform. Eval. Rev.;2000;28;1;252–263;Association for Computing Machinery;New York, NY, USA;;;;2000-06;;0163-5999;"https://doi.org/10.1145/345063.339421;http://dx.doi.org/10.1145/345063.339421";10.1145/345063.339421;In this paper, we examine the energy consumption of a state-of-the-art pocket computer. Using a data acquisition system, we measure the energy consumption of the Itsy Pocket Computer, developed by Compaq Computer Corporation's Palo Alto Research Labs. We begin by showing that the energy usage characteristics of the Itsy differ markedly from that of a notebook computer. Then, since we expect that flexible software environments will become increasingly prevalent on pocket computers, we consider applications running in a Java environment. In particular, we explain some of the Java design tradeoffs applicable to pocket computers, and quantify their energy costs. For the design options we considered and the three workloads we studied, we find a maximum change in energy use of 25%.;;;
Conference Paper;Gao Y,Yan D,Liu N,Luo S,Zhou Z,Wang Y,Chen Y,Gao B;A High-Frequency Monitoring Method for Urban Carbon Emissions Based on Vertical Federated Deep Learning and Multi-Source Heterogeneous Data Fusion Methods;;2023;;;232–237;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 5th International Conference on Information Technologies and Electrical Engineering;Changsha, China;2023;9,78145E+12;;"https://doi.org/10.1145/3582935.3582972;http://dx.doi.org/10.1145/3582935.3582972";10.1145/3582935.3582972;Carbon emissions are the main culprit of global warming. Accurate carbon emission forecasting helps government departments formulate effective carbon emission reduction policies and helps the carbon emission market develop orderly. Implementing an accurate and effective carbon emission monitoring model requires the collaboration of many parties because carbon emission-related data involves many sectors and industries. However, for the relevant characteristics of carbon emission monitoring, due to the different collection and storage standards of various departments, poor maintenance environment, lack of data, data loss, and abnormal severe, resulting in high frequency and high precision carbon emission monitoring. As privacy protection and data security issues are gradually taken seriously by government departments and related enterprises, the inability or unwillingness to share carbon emission-related data among enterprises or even among various departments within enterprises has created an increasingly severe data silo phenomenon. In addition, how effectively breaking the data barriers between various sectors is an urgent problem in grasping carbon emission change changes accurately. Therefore, this paper proposes a carbon emission monitoring model for key urban sectors based on vertical federated deep learning and multi-source heterogeneous data fusion and sharing. The experimental results show that the model accurately predicts carbon emission change trends in various application scenarios under the data availability and invisibility of each participant.;Carbon Emissions Monitoring, Vertical Federated Deep Learning, Privacy and security protection, Multi-source heterogeneous data fusion;;ICITEE '22
Conference Paper;Jun L,Jie Z,DingHong P;Cloud Computing Virtual Machine Migration Energy Measuring Research;;2020;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 3rd International Conference on Vision, Image and Signal Processing;Vancouver, BC, Canada;2020;9,78145E+12;;"https://doi.org/10.1145/3387168.3387192;http://dx.doi.org/10.1145/3387168.3387192";10.1145/3387168.3387192;This paper research virtual machine migration energy measuring on IPv4/IPv6 network based on cloud computing infrastructure platform, it conducts a research on the energy measuring in IPv4/IPv6 cloud computing platform, and presents a dynamic energy measuring mathematical model based on analyzing CPU energy consumption changes brought by random assignment works. The research determines mathematical model parameter values and it completes the IPv4/IPv6 cloud computing platform virtual machine migration experimentally. This paper achieves the energy consumption of IPv4/IPv6 transition prior-period, mid-period and last-period cloud computing platform virtual machine migration, the conclusions in line with the cloud energy measurement needs, it builds the theoretical foundation for cloud computing platform energy consumption optimize.;Virtual Machine Migration, Energy Measuring, Cloud Computing, Migration Energy Consumption;;ICVISP 2019
Conference Paper;Pathania P,Mehra R,Sharma VS,Kaulgud V,Podder S,Burden AP;ESAVE: Estimating Server and Virtual Machine Energy;;2023;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering;Rochester, MI, USA;2023;9,78145E+12;;"https://doi.org/10.1145/3551349.3561170;http://dx.doi.org/10.1145/3551349.3561170";10.1145/3551349.3561170;Sustainable software engineering has received a lot of attention in recent times, as we witness an ever-growing slice of energy use, for example, at data centers, as software systems utilize the underlying infrastructure. Characterizing servers for their energy use accurately without being intrusive, is therefore important to make sustainable software deployment choices. In this paper, we introduce ESAVE which is a machine learning-based approach that leverages a small set of hardware attributes to characterize a server or virtual machine’s energy usage across different levels of utilization. This is based upon an extensive exploration of multiple ML approaches, with a focus on a minimal set of required attributes, while showcasing good accuracy. Early validations show that ESAVE has only around 12% average prediction error, despite being non-intrusive.;;;ASE '22
Conference Paper;Huynh HT,Quan HD;Energy Expenditure Estimation Based on Artificial Intelligence and Microservice Architecture;;2020;;;159–163;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 4th International Conference on Machine Learning and Soft Computing;Haiphong City, Viet Nam;2020;9,78145E+12;;"https://doi.org/10.1145/3380688.3380715;http://dx.doi.org/10.1145/3380688.3380715";10.1145/3380688.3380715;"Nutritional status plays an important role in not only pregnancy outcomes but also neonatal health. One of efficient techniques to control the nutritional status is to estimate the energy expenditure. There are some approaches for estimating energy expenditure. However, they have limitations including high cost, relative complexity, trained personnel requirements, or locality. This study investigates in a system for data collection and analysis (IoH-Internet of Health) developing based on microservice architecture, and its application for energy expenditure estimation. The proposed system has a good ability to scale and integrate with other systems; the energy expenditure estimation is performed by using artificial intelligence. The experimental results have shown the promising results of the proposed system.";IoH system, data collection, expenditure energy estimation, healthcare, visualization;;ICMLSC '20
Journal Article;Alavani G,Desai J,Saha S,Sarkar S;Program Analysis and Machine Learning Based Approach to Predict Power Consumption of CUDA Kernel;ACM Trans. Model. Perform. Eval. Comput. Syst.;2023;;;;Association for Computing Machinery;New York, NY, USA;;;;2023-06;;2376-3639;"https://doi.org/10.1145/3603533;http://dx.doi.org/10.1145/3603533";10.1145/3603533;General Purpose Graphics Processing Unit (GPGPU) has secured a prominent position in the High-Performance Computing (HPC) world due to its performance gain and programmability. Understanding the relationship between GPU power consumption and program features can aid developers in building energy-efficient sustainable applications. In this work, we propose a static analysis based power model built using machine learning techniques. We have investigated six machine learning models across three NVIDIA GPU architectures: Kepler, Maxwell, and Volta with Random Forest, Extra Trees, Gradient Boosting, CatBoost, and XGBoost, reporting favorable results. We observed that the XGBoost technique based prediction model is the most efficient technique with an R-square value of 0.9646 on Volta Architecture. The dataset used for these techniques includes kernels from different benchmarks suits, sizes, nature (e.g., compute-bound, memory-bound), and complexity (e.g., control divergence, memory access patterns). Experimental results suggest that the proposed solution can help developers precisely predict GPU applications power consumption using program analysis across GPU architectures. Developers can use this approach to refactor their code to build energy-efficient GPU applications.;"GPGPU Computing ; XGBoost ; CatBoost ; CUDA; Static Analysis ; Sustainable Computing";Just Accepted;
Conference Paper;Colmant M,Kurpicz M,Felber P,Huertas L,Rouvoy R,Sobe A;Process-Level Power Estimation in VM-Based Systems;;2015;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the Tenth European Conference on Computer Systems;Bordeaux, France;2015;9,78145E+12;;"https://doi.org/10.1145/2741948.2741971;http://dx.doi.org/10.1145/2741948.2741971";10.1145/2741948.2741971;Power estimation of software processes provides critical indicators to drive scheduling or power capping heuristics. State-of-the-art solutions can perform coarse-grained power estimation in virtualized environments, typically treating virtual machines (VMs) as a black box. Yet, VM-based systems are nowadays commonly used to host multiple applications for cost savings and better use of energy by sharing common resources and assets.In this paper, we propose a fine-grained monitoring middleware providing real-time and accurate power estimation of software processes running at any level of virtualization in a system. In particular, our solution automatically learns an application-agnostic power model, which can be used to estimate the power consumption of applications.Our middleware implementation, named BitWatts, builds on a distributed actor implementation to collect process usage and infer fine-grained power consumption without imposing any hardware investment (e.g., power meters). BitWatts instances use high-throughput communication channels to spread the power consumption across the VM levels and between machines. Our experiments, based on CPU- and memory-intensive benchmarks running on different hardware setups, demonstrate that BitWatts scales both in number of monitored processes and virtualization levels. This non-invasive monitoring solution therefore paves the way for scalable energy accounting that takes into account the dynamic nature of virtualized environments.;;;EuroSys '15
Conference Paper;Hinz M,Miers CC,Pillon MA,Koslovski GP;A Cost Model for IaaS Clouds Based on Virtual Machine Energy Consumption;;2016;;;136–143;Brazilian Computer Society;Porto Alegre, BRA;;Proceedings of the XII Brazilian Symposium on Information Systems on Brazilian Symposium on Information Systems: Information Systems in the Cloud Computing Era - Volume 1;Florianopolis, Santa Catarina, Brazil;2016;9,78858E+12;;;;Reduction in data center energy consumption is a constant motivation for IaaS providers. Among all components, CPU appears as a main energy consumer. Although there is a strong relationship between CPU load and its energy consumption, pricing models of popular IaaS providers do not consider this information as a primary and variable element. This paper quantifies the relationship by identifying the individual consumption of virtual CPUs, which form the basis for an allocation cost model. The proposed model, termed Virtual Power, is faced with Amazon EC2 pricing model pointing a cost reduction for IaaS provider and a proportional sharing between users.;IaaS, Cost, Virtual Machine, Model;;SBSI 2016
Conference Paper;Lu Y,Wei D;Chaos Prediction of Power Systems by Using Deep Learning;;2022;;;11–17;Association for Computing Machinery;New York, NY, USA;;2022 14th International Conference on Machine Learning and Computing (ICMLC);Guangzhou, China;2022;9,78145E+12;;"https://doi.org/10.1145/3529836.3529843;http://dx.doi.org/10.1145/3529836.3529843";10.1145/3529836.3529843;Ensuring the stability of power systems is an important issue that should be considered in order to ensure the social and economic development of a country. Therefore, predicting the chaotic behavior of power systems in order to develop protection measures and keep power systems stable is vital. In this paper, a deep learning algorithm was proposed to predict the chaotic behavior of power systems by using deep long short-term memory (DLSTM) networks, which have two forms: deep long short-term memory with static scenario (DLSTM-s) and deep long-term memory with dynamic scenario (DLSTM-d). The genetic algorithm was used to optimize the hyperparameters of the networks. Then, taking interconnected power systems as an example, the effectiveness of the proposed DLSTM network was verified via numerical simulation. Finally, the experimental results of the DLSTM network were compared with those of the echo state network, multi-recurrent neural network, deep gated recurrent unit, and long short-term memory. Experimental results illustrated that a trained DLSTM network can predict the chaotic behavior of power systems by using the time series data of a single state variable. Moreover, the DLSTM-s network proposed in this paper can achieve competitive prediction performance compared with other baseline methods.;Chaos prediction, Deep learning, Deep long short-term memory, Power system;;ICMLC 2022
