"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Z9PHV6FG","conferencePaper","2000","Farkas, Keith I.; Flinn, Jason; Back, Godmar; Grunwald, Dirk; Anderson, Jennifer M.","Quantifying the Energy Consumption of a Pocket Computer and a Java Virtual Machine","Proceedings of the 2000 ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems","1-58113-194-1","","10.1145/339331.339421","https://doi.org/10.1145/339331.339421","In this paper, we examine the energy consumption of a state-of-the-art pocket computer. Using a data acquisition system, we measure the energy consumption of the Itsy Pocket Computer, developed by Compaq Computer Corporation's Palo Alto Research Labs. We begin by showing that the energy usage characteristics of the Itsy differ markedly from that of a notebook computer. Then, since we expect that flexible software environments will become increasingly prevalent on pocket computers, we consider applications running in a Java environment. In particular, we explain some of the Java design tradeoffs applicable to pocket computers, and quantify their energy costs. For the design options we considered and the three workloads we studied, we find a maximum change in energy use of 25%.","2000","2023-07-10 14:37:28","2023-07-10 14:37:28","","252–263","","","","","","","SIGMETRICS '00","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Santa Clara, California, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3DPSPBKF","journalArticle","2000","Farkas, Keith I.; Flinn, Jason; Back, Godmar; Grunwald, Dirk; Anderson, Jennifer M.","Quantifying the Energy Consumption of a Pocket Computer and a Java Virtual Machine","SIGMETRICS Perform. Eval. Rev.","","0163-5999","10.1145/345063.339421","https://doi.org/10.1145/345063.339421","In this paper, we examine the energy consumption of a state-of-the-art pocket computer. Using a data acquisition system, we measure the energy consumption of the Itsy Pocket Computer, developed by Compaq Computer Corporation's Palo Alto Research Labs. We begin by showing that the energy usage characteristics of the Itsy differ markedly from that of a notebook computer. Then, since we expect that flexible software environments will become increasingly prevalent on pocket computers, we consider applications running in a Java environment. In particular, we explain some of the Java design tradeoffs applicable to pocket computers, and quantify their energy costs. For the design options we considered and the three workloads we studied, we find a maximum change in energy use of 25%.","2000-06","2023-07-10 14:37:28","2023-07-10 14:37:28","","252–263","","1","28","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XSCYPFSZ","conferencePaper","2023","Gao, Yi; Yan, Dawei; Liu, Ning; Luo, Shuai; Zhou, Zhiyu; Wang, Yang; Chen, Yue; Gao, Bixuan","A High-Frequency Monitoring Method for Urban Carbon Emissions Based on Vertical Federated Deep Learning and Multi-Source Heterogeneous Data Fusion Methods","Proceedings of the 5th International Conference on Information Technologies and Electrical Engineering","978-1-4503-9680-6","","10.1145/3582935.3582972","https://doi.org/10.1145/3582935.3582972","Carbon emissions are the main culprit of global warming. Accurate carbon emission forecasting helps government departments formulate effective carbon emission reduction policies and helps the carbon emission market develop orderly. Implementing an accurate and effective carbon emission monitoring model requires the collaboration of many parties because carbon emission-related data involves many sectors and industries. However, for the relevant characteristics of carbon emission monitoring, due to the different collection and storage standards of various departments, poor maintenance environment, lack of data, data loss, and abnormal severe, resulting in high frequency and high precision carbon emission monitoring. As privacy protection and data security issues are gradually taken seriously by government departments and related enterprises, the inability or unwillingness to share carbon emission-related data among enterprises or even among various departments within enterprises has created an increasingly severe data silo phenomenon. In addition, how effectively breaking the data barriers between various sectors is an urgent problem in grasping carbon emission change changes accurately. Therefore, this paper proposes a carbon emission monitoring model for key urban sectors based on vertical federated deep learning and multi-source heterogeneous data fusion and sharing. The experimental results show that the model accurately predicts carbon emission change trends in various application scenarios under the data availability and invisibility of each participant.","2023","2023-07-10 14:37:28","2023-07-10 14:37:28","","232–237","","","","","","","ICITEE '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Changsha, China","","","","Carbon Emissions Monitoring; Multi-source heterogeneous data fusion; Privacy and security protection; Vertical Federated Deep Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M9F8245P","conferencePaper","2020","Jun, Liu; Jie, Zhang; DingHong, Pu","Cloud Computing Virtual Machine Migration Energy Measuring Research","Proceedings of the 3rd International Conference on Vision, Image and Signal Processing","978-1-4503-7625-9","","10.1145/3387168.3387192","https://doi.org/10.1145/3387168.3387192","This paper research virtual machine migration energy measuring on IPv4/IPv6 network based on cloud computing infrastructure platform, it conducts a research on the energy measuring in IPv4/IPv6 cloud computing platform, and presents a dynamic energy measuring mathematical model based on analyzing CPU energy consumption changes brought by random assignment works. The research determines mathematical model parameter values and it completes the IPv4/IPv6 cloud computing platform virtual machine migration experimentally. This paper achieves the energy consumption of IPv4/IPv6 transition prior-period, mid-period and last-period cloud computing platform virtual machine migration, the conclusions in line with the cloud energy measurement needs, it builds the theoretical foundation for cloud computing platform energy consumption optimize.","2020","2023-07-10 14:37:28","2023-07-10 14:37:28","","","","","","","","","ICVISP 2019","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Vancouver, BC, Canada","","","","Cloud Computing; Energy Measuring; Migration Energy Consumption; Virtual Machine Migration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7DHQ8M6C","conferencePaper","2023","Pathania, Priyavanshi; Mehra, Rohit; Sharma, Vibhu Saujanya; Kaulgud, Vikrant; Podder, Sanjay; Burden, Adam P.","ESAVE: Estimating Server and Virtual Machine Energy","Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering","978-1-4503-9475-8","","10.1145/3551349.3561170","https://doi.org/10.1145/3551349.3561170","Sustainable software engineering has received a lot of attention in recent times, as we witness an ever-growing slice of energy use, for example, at data centers, as software systems utilize the underlying infrastructure. Characterizing servers for their energy use accurately without being intrusive, is therefore important to make sustainable software deployment choices. In this paper, we introduce ESAVE which is a machine learning-based approach that leverages a small set of hardware attributes to characterize a server or virtual machine’s energy usage across different levels of utilization. This is based upon an extensive exploration of multiple ML approaches, with a focus on a minimal set of required attributes, while showcasing good accuracy. Early validations show that ESAVE has only around 12% average prediction error, despite being non-intrusive.","2023","2023-07-10 14:37:29","2023-07-10 14:37:29","","","","","","","","","ASE '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Rochester, MI, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QLIWND9W","conferencePaper","2020","Huynh, Hieu Trung; Quan, Ho Dac","Energy Expenditure Estimation Based on Artificial Intelligence and Microservice Architecture","Proceedings of the 4th International Conference on Machine Learning and Soft Computing","978-1-4503-7631-0","","10.1145/3380688.3380715","https://doi.org/10.1145/3380688.3380715","Nutritional status plays an important role in not only pregnancy outcomes but also neonatal health. One of efficient techniques to control the nutritional status is to estimate the energy expenditure. There are some approaches for estimating energy expenditure. However, they have limitations including high cost, relative complexity, trained personnel requirements, or locality. This study investigates in a system for data collection and analysis (IoH-Internet of Health) developing based on microservice architecture, and its application for energy expenditure estimation. The proposed system has a good ability to scale and integrate with other systems; the energy expenditure estimation is performed by using artificial intelligence. The experimental results have shown the promising results of the proposed system.","2020","2023-07-10 14:37:29","2023-07-10 14:37:29","","159–163","","","","","","","ICMLSC '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Haiphong City, Viet Nam","","","","data collection; expenditure energy estimation; healthcare; IoH system; visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8NDXPM9X","journalArticle","2023","Alavani, Gargi; Desai, Jineet; Saha, Snehanshu; Sarkar, Santonu","Program Analysis and Machine Learning Based Approach to Predict Power Consumption of CUDA Kernel","ACM Trans. Model. Perform. Eval. Comput. Syst.","","2376-3639","10.1145/3603533","https://doi.org/10.1145/3603533","General Purpose Graphics Processing Unit (GPGPU) has secured a prominent position in the High-Performance Computing (HPC) world due to its performance gain and programmability. Understanding the relationship between GPU power consumption and program features can aid developers in building energy-efficient sustainable applications. In this work, we propose a static analysis based power model built using machine learning techniques. We have investigated six machine learning models across three NVIDIA GPU architectures: Kepler, Maxwell, and Volta with Random Forest, Extra Trees, Gradient Boosting, CatBoost, and XGBoost, reporting favorable results. We observed that the XGBoost technique based prediction model is the most efficient technique with an R-square value of 0.9646 on Volta Architecture. The dataset used for these techniques includes kernels from different benchmarks suits, sizes, nature (e.g., compute-bound, memory-bound), and complexity (e.g., control divergence, memory access patterns). Experimental results suggest that the proposed solution can help developers precisely predict GPU applications power consumption using program analysis across GPU architectures. Developers can use this approach to refactor their code to build energy-efficient GPU applications.","2023-06","2023-07-10 14:37:29","2023-07-10 14:37:29","","","","","","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","CatBoost; CUDA; GPGPU Computing; Static Analysis; Sustainable Computing; XGBoost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NNAHU42T","conferencePaper","2015","Colmant, Maxime; Kurpicz, Mascha; Felber, Pascal; Huertas, Loïc; Rouvoy, Romain; Sobe, Anita","Process-Level Power Estimation in VM-Based Systems","Proceedings of the Tenth European Conference on Computer Systems","978-1-4503-3238-5","","10.1145/2741948.2741971","https://doi.org/10.1145/2741948.2741971","Power estimation of software processes provides critical indicators to drive scheduling or power capping heuristics. State-of-the-art solutions can perform coarse-grained power estimation in virtualized environments, typically treating virtual machines (VMs) as a black box. Yet, VM-based systems are nowadays commonly used to host multiple applications for cost savings and better use of energy by sharing common resources and assets.In this paper, we propose a fine-grained monitoring middleware providing real-time and accurate power estimation of software processes running at any level of virtualization in a system. In particular, our solution automatically learns an application-agnostic power model, which can be used to estimate the power consumption of applications.Our middleware implementation, named BitWatts, builds on a distributed actor implementation to collect process usage and infer fine-grained power consumption without imposing any hardware investment (e.g., power meters). BitWatts instances use high-throughput communication channels to spread the power consumption across the VM levels and between machines. Our experiments, based on CPU- and memory-intensive benchmarks running on different hardware setups, demonstrate that BitWatts scales both in number of monitored processes and virtualization levels. This non-invasive monitoring solution therefore paves the way for scalable energy accounting that takes into account the dynamic nature of virtualized environments.","2015","2023-07-10 14:37:29","2023-07-10 14:37:29","","","","","","","","","EuroSys '15","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Bordeaux, France","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RAJT8Y6E","conferencePaper","2016","Hinz, Mauro; Miers, Charles C.; Pillon, Mauricio A.; Koslovski, Guilherme P.","A Cost Model for IaaS Clouds Based on Virtual Machine Energy Consumption","Proceedings of the XII Brazilian Symposium on Information Systems on Brazilian Symposium on Information Systems: Information Systems in the Cloud Computing Era - Volume 1","978-85-7669-317-8","","","","Reduction in data center energy consumption is a constant motivation for IaaS providers. Among all components, CPU appears as a main energy consumer. Although there is a strong relationship between CPU load and its energy consumption, pricing models of popular IaaS providers do not consider this information as a primary and variable element. This paper quantifies the relationship by identifying the individual consumption of virtual CPUs, which form the basis for an allocation cost model. The proposed model, termed Virtual Power, is faced with Amazon EC2 pricing model pointing a cost reduction for IaaS provider and a proportional sharing between users.","2016","2023-07-10 14:37:29","2023-07-10 14:37:29","","136–143","","","","","","","SBSI 2016","","","","Brazilian Computer Society","Porto Alegre, BRA","","","","","","","","event-place: Florianopolis, Santa Catarina, Brazil","","","","Cost; IaaS; Model; Virtual Machine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUA5KAAA","conferencePaper","2022","Lu, Yingdong; Wei, Duqu","Chaos Prediction of Power Systems by Using Deep Learning","2022 14th International Conference on Machine Learning and Computing (ICMLC)","978-1-4503-9570-0","","10.1145/3529836.3529843","https://doi.org/10.1145/3529836.3529843","Ensuring the stability of power systems is an important issue that should be considered in order to ensure the social and economic development of a country. Therefore, predicting the chaotic behavior of power systems in order to develop protection measures and keep power systems stable is vital. In this paper, a deep learning algorithm was proposed to predict the chaotic behavior of power systems by using deep long short-term memory (DLSTM) networks, which have two forms: deep long short-term memory with static scenario (DLSTM-s) and deep long-term memory with dynamic scenario (DLSTM-d). The genetic algorithm was used to optimize the hyperparameters of the networks. Then, taking interconnected power systems as an example, the effectiveness of the proposed DLSTM network was verified via numerical simulation. Finally, the experimental results of the DLSTM network were compared with those of the echo state network, multi-recurrent neural network, deep gated recurrent unit, and long short-term memory. Experimental results illustrated that a trained DLSTM network can predict the chaotic behavior of power systems by using the time series data of a single state variable. Moreover, the DLSTM-s network proposed in this paper can achieve competitive prediction performance compared with other baseline methods.","2022","2023-07-10 14:37:29","2023-07-10 14:37:29","","11–17","","","","","","","ICMLC 2022","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Guangzhou, China","","","","Chaos prediction; Deep learning; Deep long short-term memory; Power system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
