"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Predicting Energy Consumption Using LSTM and CNN Deep Learning Algorithm","A. V. Abraham; P. Sasidharan; S. J. S. Tejas; M. Manohara; R. Muthu; R. C. Naidu","School of Electrical Engineering Vellore Institute of Technology, Vellore, India; School of Electrical Engineering Vellore Institute of Technology, Vellore, India; School of Electrical Engineering Vellore Institute of Technology, Vellore, India; School of Engineering Mohan Babu University, Tirupati, India; School of Electronics Engineering Vellore Institute of Technology, Vellore, India; School of Engineering Universite des Mascareignes, Mauritius","2022 7th International Conference on Environment Friendly Energies and Applications (EFEA)","17 Mar 2023","2022","","","1","6","Innovations in technologies that rely on electricity have led to an uncontrollable rise in power usage. In order to predict future electricity demand and enhance the power distribution system, analysis and forecasting of energy consumption systems are necessary. Several issues with the present energy consumption prediction methods make it difficult to anticipate actual energy usage with any degree of accuracy. In order to master the energy prediction method, this study examines fourteen years' worth of hourly energy usage data from a Kaggle open source dataset. In addition, a Long Short Term Memory (LSTM) and Convolution Neural Network (CNN) based method for estimating energy consumption based on actual datasets is presented in the research. The empirical findings demonstrate which LSTM and CNN architectures can improve energy consumption forecasting accuracy.","2688-2558","979-8-3503-3321-3","10.1109/EFEA56675.2022.10063818","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10063818","Power consumption;LSTM;CNN;prediction","Energy consumption;Technological innovation;Power distribution;Predictive models;Prediction algorithms;Data models;Smart meters","convolutional neural nets;deep learning (artificial intelligence);energy consumption;power engineering computing;recurrent neural nets","actual datasets;actual energy usage;CNN architectures;CNN deep learning algorithm;Convolution Neural Network based method;energy consumption forecasting accuracy;energy consumption prediction methods;energy consumption systems;energy prediction method;fourteen years;future electricity demand;hourly energy usage data;Kaggle open source dataset;Long Short Term Memory;LSTM;power distribution system;power usage;predicting energy consumption;uncontrollable rise","","","","35","IEEE","17 Mar 2023","","","IEEE","IEEE Conferences"
"Multi-level Power Consumption and Computation Models and Energy-Efficient Server Selection Algorithms in a Scalable Cluster","H. Kataoka; A. Sawada; D. Duolikun; T. Enokido; M. Takizawa","Hosei University, Tokyo, Japan; Hosei University, Tokyo, Japan; Hosei University, Tokyo, Japan; Rissho University, Tokyo, Japan; Hosei University, Tokyo, Japan","2016 19th International Conference on Network-Based Information Systems (NBiS)","19 Dec 2016","2016","","","210","217","It is critical to reduce the electric energy consumed in information systems, especially server clusters. In ourprevious studies, the MLPCM (multi-level power consumption with multiple CPUs) and MLCM (multi-level computation with multiple CPUs) models are proposed with server selection algorithms. In the server selection algorithms, a server is selected to perform a process issued by a client by estimating the electric energy consumption by simulating the execution of every current process. However, it takes time to collect the state of processes performed on each server and estimate the termination time of the processes. In this paper, we propose a simple energy-efficient (PEA) algorithm to select server where only state information on number of processes on each serveris used. We evaluate the PEA algorithm and show not only the total electric energy consumption of the servers but also the average execution time of processes are reduced in the PEA algorithm compared with other algorithms.","2157-0426","978-1-5090-0979-4","10.1109/NBiS.2016.88","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7789760","MLPCM model;MLCM model;Energy-aware server selection algorithm;PEA alogrithm","Servers;Clustering algorithms;Computational modeling;Instruction sets;Power demand;Energy consumption","energy conservation;power aware computing;power consumption","energy-efficient server selection;multilevel power consumption;server selection;state information;PEA algorithm;electric energy consumption;computation models;scalable cluster","","7","","28","IEEE","19 Dec 2016","","","IEEE","IEEE Conferences"
"A DNN based LSTM Model for Predicting Future Energy Consumption","B. E; H. R. M; K. P. N; S. P. S B; J. S","Department of Information Technology, M. Kumarasamy College of Engineering, Thalavapalayam, Karur; Department of Information Technology, M. Kumarasamy College of Engineering, Thalavapalayam, Karur; Department of Information Technology, M. Kumarasamy College of Engineering, Thalavapalayam, Karur; Department of Information Technology, M. Kumarasamy College of Engineering, Thalavapalayam, Karur; Department of Information Technology, M. Kumarasamy College of Engineering, Thalavapalayam, Karur","2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC)","16 Jun 2022","2022","","","1667","1671","Due to the progressions of power subordinate hardware, the unnecessary development of energy utilization has expanded dramatically. In this manner, monitoring and prediction of the energy utilization framework will offer the future interest for energy utilization and further develop the power circulation framework. By the virtue of a few difficulties of existing energy utilization, prediction models are restricting to anticipate the genuine energy utilization appropriately. Along these lines, to overcome the energy prediction technique, this paper dissects fourteen years of energy utilization information gathered on an hourly premise, from an open-source dataset from Kaggle. Also, the paper suggests a Long Short-Term Memory (LSTM) based way to deal with predicted energy utilization in light of the genuine dataset. The experimental outcomes show that the proposed LSTM engineering can effectively improve the prediction exactness of energy utilization.","","978-1-6654-9710-7","10.1109/ICAAIC53929.2022.9793147","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793147","LSTM;DNN;power consumption;Time Series","Training;Productivity;Technological innovation;Computational modeling;Measurement uncertainty;Estimation;Lattices","energy consumption;recurrent neural nets;regression analysis;speech recognition;storage management","predicting future energy consumption;energy utilization framework;prediction models;genuine energy utilization;energy prediction technique;energy utilization information;predicted energy utilization;DNN based LSTM model","","","","15","IEEE","16 Jun 2022","","","IEEE","IEEE Conferences"
"Integration of Artificial Neural Networks and Genetic Algorithm to Predict Electrical Energy Consumption in Energy Intensive Sector","A. Azadeh; R. T. Moghadam; S. F. Ghaderi; S. Tarverdian; M. Saberi","Department of Industrial Engineering and Research, Institute of Energy Management and Planning, Faculty of Engineering, University of Tehran, Iran; Department of Industrial Engineering and Research, Institute of Energy Management and Planning, Faculty of Engineering, University of Tehran, Iran; Department of Industrial Engineering and Research, Institute of Energy Management and Planning, Faculty of Engineering, University of Tehran, Iran; Department of Industrial Engineering and Research, Institute of Energy Management and Planning, Faculty of Engineering, University of Tehran, Iran; Tafresh branch, Islamic Azad University, Iran","2006 1ST IEEE International Conference on E-Learning in Industrial Electronics","16 Apr 2007","2006","","","58","63","This study presents an integrated genetic algorithm (GA) and artificial neural network (ANN) to estimate and predict electricity demand using stochastic procedures. The considered sector is the energy intensive sector and the economic indicators used in this paper are price, value added, number of customers, price of the substitute fuel and electricity intensity. The chosen models are linear-logarithmic, exponential and quadratic ones. This model can be used to estimate energy demand in the future by optimizing parameter values. The GA applied in this study has been tuned for all its parameters and the best coefficients with minimum error are identified, while all parameter values are tested concurrently. The estimation errors of genetic algorithm models are less than that of estimated by regression method. Neural network is used to forecast each independent variable and then electricity consumption is forecasted up to year 2008 in this sector. It is pointed that neural networks dominate time series approach form the point of yielding less Mean Absolute Percentage Error (MAPE) error. In addition, another unique feature of this study is utilization of ANN instead of time series to obtain better predictions for energy consumption. Electricity consumption in Iranian energy intensive sector from 1981 to 2005 is considered as the case of this study","","1-4244-0323-5","10.1109/ICELIE.2006.347212","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4152768","","Artificial neural networks;Genetic algorithms;Energy consumption;Biological cells;Economic indicators;Power engineering and energy;Stochastic processes;Fuels;Neural networks;Algorithm design and analysis","economic indicators;forecasting theory;genetic algorithms;neural nets;power consumption;regression analysis;stochastic processes;time series","artificial neural networks;genetic algorithm;electrical energy consumption prediction;energy intensive sector;stochastic procedures;economic indicators;linear-logarithmic model;exponential model;quadratic model;regression method;time series approach","","4","","16","IEEE","16 Apr 2007","","","IEEE","IEEE Conferences"
"Predicting mine dam levels and energy consumption using artificial intelligence methods","A. N. Hasan; B. Twala; T. Marwala","Department of Electric and Electronic Engineering Science, University of Johannesburg, South Africa; Department of Electric and Electronic Engineering Science, University of Johannesburg, South Africa; Department of Electric and Electronic Engineering Science, University of Johannesburg, South Africa","2013 IEEE Symposium on Computational Intelligence for Engineering Solutions (CIES)","26 Sep 2013","2013","","","171","175","Four machine learning algorithms (artificial neural networks, a naive Bayes' classifier, a support vector machines and decision trees) were applied for a single pump station mine to monitor and predict the dam levels and energy consumption. This work was undertaken to investigate the feasibility of using artificial intelligence in certain aspects of the mining industry. If successful, artificial intelligence systems could lead to improved safety and reduced electrical energy consumption. The results show neural networks to be more efficient when compared with support vector machines, a naive Bayes' classifier and in particular, decision trees in terms of predicting underground dam levels. Artificial neural networks showed 60% accuracy, out-performing support vector machine, naive Bayes' classifier and decision trees. For the prediction of water pump energy consumption, an artificial neural network and a naive Bayes' classifier had the same accuracy of 99.0%, whereas a support vector machine and decision trees achieved a lower accuracy.","","978-1-4673-5851-4","10.1109/CIES.2013.6611745","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6611745","machine learning algorithms;deep gold mines;de-watering system;underground pump stations;energy consumption","Handheld computers;Economic indicators;Decision support systems;Computational intelligence","Bayes methods;dams;decision trees;energy consumption;mining;mining industry;neural nets;pattern classification;power engineering computing;production engineering computing;support vector machines","mine dam level prediction;energy consumption prediction;artificial intelligence method;machine learning algorithms;artificial neural networks;naive Bayes classifier;support vector machines;decision trees;single pump station mine;mining industry;safety;reduced electrical energy consumption;underground dam levels;water pump energy consumption","","6","","21","IEEE","26 Sep 2013","","","IEEE","IEEE Conferences"
"An Extended Simple Power Consumption Model for Selecting a Server to Perform Computation Type Processes in Digital Ecosystems","T. Enokido; A. Aikebaier; M. Takizawa","Faculty of Business Administration, Rissho University, Shinagawa, Tokyo, Japan; National Institute of Information and Communications Technology, Koganei, Tokyo, Japan; Department of Advanced Sciences, Hosei University, Koganei-shi, Tokyo, Japan","IEEE Transactions on Industrial Informatics","2 May 2014","2014","10","2","1627","1636","In information systems, applications are required to be realized in the digital ecosystems, high performance systems, and scalable systems. In these applications, a client first selects a server in a cluster of servers and issues a request to the server. The request is performed as a process in the server. In this paper, we consider a computation process which mainly consumes the central processing unit (CPU) resources. Cooling devices, such as fans, consume the electric power in addition to the CPU of a server. The rotation speed of a fan is revved up in servers in order to decrease the temperature of a server. Thus, the total power consumption of a server depends on not only computational devices such as a CPU, but also cooling devices. We discuss an extended simple power consumption (ESPC) model of a server with a multicore CPU and cooling devices to perform computation type processes. It is critical to discuss how to select a server for each request issued by a client in order to not only achieve performance objectives, but also reduce the total power consumption of a system based on the ESPC model. An improved power consumption laxity-based (IPCLB) algorithm for selecting a server is proposed in this paper, where the minimum power to be consumed is used to perform the process. We evaluate the ESPC model and IPCLB algorithm in terms of power consumption and elapse time.","1941-0050","","10.1109/TII.2014.2303315","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6729048","Distributed systems;ecosystem;energy-aware information system;green internet technology (IT);power consumption model","Servers;Power demand;Computational modeling;Ecosystems;Information systems;Performance evaluation","multiprocessing systems;network servers;power aware computing","extended simple power consumption model;computation type processes;digital ecosystems;information systems;high performance systems;scalable systems;servers;computation process;central processing unit;CPU resources;cooling devices;fans;electric power;computational devices;ESPC model;multicore CPU;improved power consumption laxity-based algorithm;IPCLB algorithm;elapse time","","119","","34","IEEE","30 Jan 2014","","","IEEE","IEEE Journals"
"Power Consumption and Computation Models of a Server with a Multi-core CPU and Experiments","H. Kataoka; D. Duolikun; T. Enokido; M. Takizawa","Hosei University, Tokyo, Japan; Hosei University, Tokyo, Japan; Rissho University, Tokyo, Japan; Hosei University, Tokyo, Japan","2015 IEEE 29th International Conference on Advanced Information Networking and Applications Workshops","30 Apr 2015","2015","","","217","222","The power consumption of servers has to be reduced in a cluster to realize eco society. In this paper, we discuss power consumption models of servers. We take a macro level approach to reducing the total power consumption of servers to perform application processes. A server is equipped with a multi-core CPU. Through measuring electric power consumed by types of servers to perform application processes, we newly propose a multi-level power consumption (MLPC) model of a server with a multi-core CPU. Here, the power consumption of a server depends on the number of active cores and active threads where at least one application process is performed. We also discuss a computation model which gives the expected execution time of a process on a server. Based on the MLPC model and the computation model, we discuss an energy-aware (EA) selection algorithm to select a server for each process requested by a client in a cluster so that the total electric energy consumption can be reduced. We evaluate the EA algorithm and show the total energy consumption is reduced in the EA algorithm compared with round-robin and random algorithms.","","978-1-4799-1775-4","10.1109/WAINA.2015.127","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7096176","Multi-level power consumption (MLPC) model;Computation model;Energy-aware (EA) selection algorithm","Servers;Power demand;Computational modeling;Clustering algorithms;Energy consumption;Instruction sets","microprocessor chips;multiprocessing systems;power aware computing","power computation;multicore CPU;eco society;power consumption models;macro level approach;electric power measurement;multilevel power consumption;MLPC model;EA selection algorithm","","42","","13","IEEE","30 Apr 2015","","","IEEE","IEEE Conferences"
"Power Consumption and Computation Models of a Storage Server","A. Sawada; H. Kataoka; D. Duolikun; T. Enokido; M. Takizawa","Hosei University, Tokyo, Japan; Hosei Daigaku, Chiyoda-ku, Tokyo, JP; Hosei University, Tokyo, Japan; Rissho University, Tokyo, Japan; Hosei University, Tokyo, Japan","2015 10th International Conference on Broadband and Wireless Computing, Communication and Applications (BWCCA)","3 Mar 2016","2015","","","472","477","It is now critical to reduce electric energy consumed in a cluster of servers, especially scalable systems including a huge number of servers like cluster computing systems. Types of application processes like computation, storage, and communication processes are performed on servers in clusters. In clusters, most applications use not only CPU resources but also storage drives like database and web applications. In this paper, we consider storage processes which read and write files in storage devices. The SPCS model (simple power consumption model for a storage server) shows how much electric power a server consumes to perform storage and computation processes. In our macro-level approach, we first measure the electric power consumed by a whole server to perform storage and computation processes and the computation time of each process. Then, we define the SPCS model of a server to perform storage and computation processes by abstracting parameters like number of processes which dominate the electric power consumption. We also define a simple computation model for a storage server (SPCS model) to perform storage and computation processes.","","978-1-4673-8315-8","10.1109/BWCCA.2015.79","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7424870","Eco distributed systems;Storage process;Computation process;Simple power consumption model for a storage server;SCPC model;SCS model","Servers;Computational modeling;Biological system modeling;Power demand;Performance evaluation;Power measurement","energy consumption;Internet;microprocessor chips;power aware computing;storage management","cluster computing systems;CPU resources;storage drives;storage process;read and write files;storage devices;SPCS model;simple power consumption model for a storage server;computation processes;macrolevel approach;electric power consumption","","1","","19","IEEE","3 Mar 2016","","","IEEE","IEEE Conferences"
"A Review of the Main Machine Learning Methods for Predicting Residential Energy Consumption","A. González-Briones; G. Hernández; T. Pinto; Z. Vale; J. M. Corchado","BISITE Research Group, University of Salamanca. Edificio I+D+i, Calle Espejo 2, Salamanca, Spain; BISITE Research Group, University of Salamanca. Edificio I+D+i, Calle Espejo 2, Salamanca, Spain; GECAD Research Group, Polytechnic Institute of Porto, Porto, Portugal; GECAD Research Group, Polytechnic Institute of Porto, Porto, Portugal; BISITE Research Group, University of Salamanca. Edificio I+D+i, Calle Espejo 2, Salamanca, Spain","2019 16th International Conference on the European Energy Market (EEM)","28 Nov 2019","2019","","","1","6","The ability to predict future energy consumption is very important for energy distribution companies because it allows them to estimate energy needs and supply them accordingly. Consumption prediction makes it possible for those companies to optimize their processes by, for example, providing them with knowledge about future periods of high energy demand or by enabling them to adapt their tariffs to customer consumption. Machine Learning techniques allow to predict future energy consumption on the basis of the customers’ historical consumption and several other parameters. This article reviews some of the main machine learning models capable of predicting energy consumption, in our case study we use a specific set of data extracted from a two-year-period of a shoe store. Among the evaluated methods, Gradient Boosting has obtained an 86.3% success rate in predicting consumption.","2165-4093","978-1-7281-1257-2","10.1109/EEM.2019.8916406","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8916406","Energy Forecasting;Machine Learning;Gradient Boosting;XGBoost;Lasso;Ridge regression;SGDRegressor;MLP","Energy consumption;Predictive models;Boosting;Data models;Prediction algorithms;Machine learning algorithms","data handling;gradient methods;learning (artificial intelligence);power consumption;power distribution;power engineering computing","residential energy consumption prediction;energy distribution companies;customer consumption;machine learning techniques;main machine learning methods;gradient boosting;data extraction;shoe store","","5","","24","IEEE","28 Nov 2019","","","IEEE","IEEE Conferences"
"Machine-Learning Based Approach to Predict Energy Consumption of India States","P. K; L. T; S. P. V; R. V. P. A","Dept of Computer Science and Engineering, V R Siddhartha Engineering College(A), Vijayawada, India; Dept of Computer Science and Engineering, V R Siddhartha Engineering College(A), Vijayawada, India; Dept of Computer Science and Engineering, V R Siddhartha Engineering College(A), Vijayawada, India; Dept of CSE, V R Siddhartha Engineering College(A), Vijayawada, India","2022 6th International Conference on Computing Methodologies and Communication (ICCMC)","13 Apr 2022","2022","","","1153","1156","Energy is a vital component of economic development, and its availability is intimately tied to a country's progress. Economic development implies rising levels of energy consumption since energy is necessary to carry out the industrial process. A precise estimate of energy demands could be important in making smart power generation and buying decisions. The impact of energy on many sectors is insufficient. Energy is what propels and sustains economies. Energy from the industrial sector continues to be a boon to all economies, whether developed and developing. Its forecast has been recognized as a key requirement for national and international viability. This study reveals about the prediction of energy consumption which uses Random Forest a machine learning algorithm, that displays the predicted value on the GUI screen based on the input given by the user.","","978-1-6654-1028-1","10.1109/ICCMC53470.2022.9753844","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9753844","Smart power generation;Forecast;Energy Consumption;Random Forest","Economics;Energy consumption;Machine learning algorithms;Forestry;Propulsion;Random forests;Power generation","energy consumption;graphical user interfaces;learning (artificial intelligence);power engineering computing;power system economics","machine-learning based approach;energy consumption;economic development;energy demands;machine learning algorithm;india states;industrial process;smart power generation;buying decisions;random forest;GUI screen","","","","20","IEEE","13 Apr 2022","","","IEEE","IEEE Conferences"
