page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
1,1,,Neural network for estimation of harmonic components in a power system,https://digital-library.theiet.org/content/journals/10.1049/ip-c.1992.0021,QTFZiAKLxU8J,"S Osowski - IEE Proceedings C (Generation, Transmission and …, 1992 - IET","… Indexing terms: Neural network theory, Harmonic components … to the estimation of harmonics in the power system. The proposed method uses the optimisation neural network theory …",216.0,"https://scholar.google.com/scholar?cites=5748153342402048321&as_sdt=5,43&sciodt=0,43&hl=en&num=20",5748153342402048321,4.0,"https://scholar.google.com/scholar?cluster=5748153342402048321&hl=en&num=20&as_sdt=0,43&as_vis=1",5748153342402048321,,,
1,2,,A method for state of energy estimation of lithium-ion batteries based on neural network model,https://www.sciencedirect.com/science/article/pii/S0360544215010154,CSIIb9Zl-3EJ,"G Dong, X Zhang, C Zhang, Z Chen - Energy, 2015 - Elsevier",… estimate cell state-of-energy. Experimental results on LiFePO 4 batteries indicate that the wavelet-neural-network … with high accuracy and the estimation value based on the particle filter …,155.0,"https://scholar.google.com/scholar?cites=8213270317100442121&as_sdt=5,43&sciodt=0,43&hl=en&num=20",8213270317100442121,9.0,"https://scholar.google.com/scholar?cluster=8213270317100442121&hl=en&num=20&as_sdt=0,43&as_vis=1",8213270317100442121,PDF,nsfc.gov.cn,https://kd.nsfc.gov.cn/paperDownload/1000013558461.pdf
1,3,,Energy demand estimation of South Korea using artificial neural network,https://www.sciencedirect.com/science/article/pii/S0301421509003218,AZRilWcfqo8J,"ZW Geem, WE Roper - Energy policy, 2009 - Elsevier","… energy demand is critical in energy policy-making. This research proposes an artificial neural network … , and scaled data) to efficiently estimate the energy demand for South Korea. The …",256.0,"https://scholar.google.com/scholar?cites=10352121223212864513&as_sdt=5,43&sciodt=0,43&hl=en&num=20",10352121223212864513,10.0,"https://scholar.google.com/scholar?cluster=10352121223212864513&hl=en&num=20&as_sdt=0,43&as_vis=1",10352121223212864513,PDF,academia.edu,https://www.academia.edu/download/2309152/EP_Energy_Demand.pdf
1,4,,Estimation of the energy of a PV generator using artificial neural network,https://www.sciencedirect.com/science/article/pii/S0960148109002638,vSJXgxn5WTUJ,"F Almonacid, C Rus, PJ Pérez, L Hontoria - Renewable Energy, 2009 - Elsevier","… 5 shows some examples of the power obtained by the artificial neural network and the power … ANN, because the neural network is trained with values of PV module measure in real sun. …",123.0,"https://scholar.google.com/scholar?cites=3844377644910453437&as_sdt=5,43&sciodt=0,43&hl=en&num=20",3844377644910453437,9.0,"https://scholar.google.com/scholar?cluster=3844377644910453437&hl=en&num=20&as_sdt=0,43&as_vis=1",3844377644910453437,,View it @ CTU,"https://scholar.google.com/scholar?output=instlink&q=info:vSJXgxn5WTUJ:scholar.google.com/&hl=en&num=20&as_sdt=0,43&as_vis=1&scillfp=11047703598367823698&oi=lle"
1,5,,GRANNITE: Graph neural network inference for transferable power estimation,https://ieeexplore.ieee.org/abstract/document/9218643/,FNhoyNQIQdEJ,"Y Zhang, H Ren, B Khailany - 2020 57th ACM/IEEE Design …, 2020 - ieeexplore.ieee.org","… neural network (GNN) model for fast, accurate, and transferable vector-based average power estimation… Compared to traditional power analysis using gate-level simulations, GRANNITE …",59.0,"https://scholar.google.com/scholar?cites=15078342737401534484&as_sdt=5,43&sciodt=0,43&hl=en&num=20",15078342737401534484,3.0,"https://scholar.google.com/scholar?cluster=15078342737401534484&hl=en&num=20&as_sdt=0,43&as_vis=1",15078342737401534484,PDF,nvidia.com,https://research.nvidia.com/sites/default/files/pubs/2020-07_GRANNITE%3A-Graph-Neural/034_2_GRANNITE.pdf
1,6,,Neural network based estimation of maximum power generation from PV module using environmental information,https://ieeexplore.ieee.org/abstract/document/629709/,wUv8gTND1WMJ,"T Hiyama, K Kitabayashi - IEEE Transactions on Energy …, 1997 - ieeexplore.ieee.org","… artificial neural network for the estimation of maximum power generation from the PV module. The output power … For the operation planning of power systems, the prediction of the power …",442.0,"https://scholar.google.com/scholar?cites=7193729868297423809&as_sdt=5,43&sciodt=0,43&hl=en&num=20",7193729868297423809,8.0,"https://scholar.google.com/scholar?cluster=7193729868297423809&hl=en&num=20&as_sdt=0,43&as_vis=1",7193729868297423809,,,
1,7,,UNet-NILM: A deep neural network for multi-tasks appliances state detection and power estimation in NILM,https://dl.acm.org/doi/abs/10.1145/3427771.3427859,tjKFFwpGu8UJ,"A Faustine, L Pereira, H Bousbiat… - Proceedings of the 5th …, 2020 - dl.acm.org",… tasks where one neural network is trained for either power estimation or appliance state … power estimation) depend on one another since the appliance stats are derived from their power …,58.0,"https://scholar.google.com/scholar?cites=14248058855274918582&as_sdt=5,43&sciodt=0,43&hl=en&num=20",14248058855274918582,7.0,"https://scholar.google.com/scholar?cluster=14248058855274918582&hl=en&num=20&as_sdt=0,43&as_vis=1",14248058855274918582,PDF,acm.org,https://dl.acm.org/doi/pdf/10.1145/3427771.3427859
1,8,,Application of neural-network modules to electric power system fault section estimation,https://ieeexplore.ieee.org/abstract/document/1308324/,9RhZlG2TpVcJ,"G Cardoso, JG Rolim, HH Zurn - IEEE Transactions on Power …, 2004 - ieeexplore.ieee.org",… the task of fault section estimation. Its analysis is based … neural network and the multilayer perceptron neural network. The tool described in this paper can be applied to real bulk power …,194.0,"https://scholar.google.com/scholar?cites=6315616151306574069&as_sdt=5,43&sciodt=0,43&hl=en&num=20",6315616151306574069,3.0,"https://scholar.google.com/scholar?cluster=6315616151306574069&hl=en&num=20&as_sdt=0,43&as_vis=1",6315616151306574069,,,
1,9,Html,An artificial neural network to estimate physical activity energy expenditure and identify physical activity type from an accelerometer,https://journals.physiology.org/doi/full/10.1152/japplphysiol.00465.2009?view=long&pmid=19644028,ta4AEmuvTFEJ,"J Staudenmayer, D Pober, S Crouter… - Journal of applied …, 2009 - journals.physiology.org",The aim of this investigation was to develop and test two artificial neural networks (ANN) to apply to physical activity data collected with a commonly used uniaxial accelerometer. The …,442.0,"https://scholar.google.com/scholar?cites=5858250089700568757&as_sdt=5,43&sciodt=0,43&hl=en&num=20",5858250089700568757,13.0,"https://scholar.google.com/scholar?cluster=5858250089700568757&hl=en&num=20&as_sdt=0,43&as_vis=1",5858250089700568757,HTML,physiology.org,https://journals.physiology.org/doi/full/10.1152/japplphysiol.00465.2009?view=long&pmid=19644028
1,10,Html,A deep neural network for simultaneous estimation of b jet energy and resolution,https://link.springer.com/article/10.1007/s41781-020-00041-z,AZvSfqgysK4J,"AM Sirunyan, A Tumasyan, W Adam, F Ambrogi… - Computing and software …, 2020 - Springer","We describe a method to obtain point and dispersion estimates for the energies of jets arising from b quarks produced in proton–proton collisions at an energy of $$\sqrt{s}=13\,\text {TeV…",51.0,"https://scholar.google.com/scholar?cites=12587616657764162305&as_sdt=5,43&sciodt=0,43&hl=en&num=20",12587616657764162305,42.0,"https://scholar.google.com/scholar?cluster=12587616657764162305&hl=en&num=20&as_sdt=0,43&as_vis=1",12587616657764162305,HTML,springer.com,https://link.springer.com/article/10.1007/s41781-020-00041-z
1,11,,Neural network based VLSI power estimation,https://ieeexplore.ieee.org/abstract/document/4098580/,mOGgg67u65YJ,"L Hou, L Zheng, W Wu - … on Solid-State and Integrated Circuit …, 2006 - ieeexplore.ieee.org",… [3][4][5] estimated VLSI power in a less simulation dependent way … neural network to perform VLSI power estimation. Experiments were made on ISCAS89 benchmark. Power estimation …,19.0,"https://scholar.google.com/scholar?cites=10875048158516273560&as_sdt=5,43&sciodt=0,43&hl=en&num=20",10875048158516273560,2.0,"https://scholar.google.com/scholar?cluster=10875048158516273560&hl=en&num=20&as_sdt=0,43&as_vis=1",10875048158516273560,,,
1,12,,An adaptive neural network approach for the estimation of power system frequency,https://www.sciencedirect.com/science/article/pii/S0378779696011868,yN4USPWogUgJ,"PK Dash, DP Swain, A Routray, AC Liew - Electric power systems research, 1997 - Elsevier","… estimation of frequency of power system signals using a single layer adaptive neural network … The voltage or current signal of a power system is modelled as a difference equation, …",135.0,"https://scholar.google.com/scholar?cites=5224642814156267208&as_sdt=5,43&sciodt=0,43&hl=en&num=20",5224642814156267208,5.0,"https://scholar.google.com/scholar?cluster=5224642814156267208&hl=en&num=20&as_sdt=0,43&as_vis=1",5224642814156267208,,View it @ CTU,"https://scholar.google.com/scholar?output=instlink&q=info:yN4USPWogUgJ:scholar.google.com/&hl=en&num=20&as_sdt=0,43&as_vis=1&scillfp=11656594768980386234&oi=lle"
1,13,,A compact and optimized neural network approach for battery state-of-charge estimation of energy storage system,https://www.sciencedirect.com/science/article/pii/S0360544220326360,OCZJQHTfV4sJ,"Y Guo, Z Yang, K Liu, Y Zhang, W Feng - Energy, 2021 - Elsevier","… neural network approach for SOC estimation of energy storage … Then, a radial basis function (RBF) neural network is set up … selection method, the neural network is well formulated with …",56.0,"https://scholar.google.com/scholar?cites=10040739584633546296&as_sdt=5,43&sciodt=0,43&hl=en&num=20",10040739584633546296,5.0,"https://scholar.google.com/scholar?cluster=10040739584633546296&hl=en&num=20&as_sdt=0,43&as_vis=1",10040739584633546296,,View it @ CTU,"https://scholar.google.com/scholar?output=instlink&q=info:OCZJQHTfV4sJ:scholar.google.com/&hl=en&num=20&as_sdt=0,43&as_vis=1&scillfp=10321949497160571949&oi=lle"
1,14,,Occupant related household energy consumption in Canada: Estimation using a bottom-up neural-network technique,https://www.sciencedirect.com/science/article/pii/S0378778810003415,n-4wUHECA_QJ,"LG Swan, VI Ugursal, I Beausoleil-Morrison - Energy and Buildings, 2011 - Elsevier",… ▶ Neural network for the prediction of occupant energy consumption. ▶ Separation of … allocation and energy source. ▶ Application of end-use profiles for inclusion of occupant energy …,126.0,"https://scholar.google.com/scholar?cites=17582900055884492447&as_sdt=5,43&sciodt=0,43&hl=en&num=20",17582900055884492447,5.0,"https://scholar.google.com/scholar?cluster=17582900055884492447&hl=en&num=20&as_sdt=0,43&as_vis=1",17582900055884492447,,,
1,15,,Using neural network modelling for estimation and forecasting of transport sector energy demand in developing countries,https://www.sciencedirect.com/science/article/pii/S0196890422003521,HkmRKduHDzkJ,"M Maaouane, M Chennaif, S Zouggar… - Energy Conversion and …, 2022 - Elsevier",… This paper enables countries (particularly emerging economies) that lack transportation energy efficiency indicators to generate their own. An Artificial Neural Network (ANN) algorithm …,6.0,"https://scholar.google.com/scholar?cites=4111654360177527070&as_sdt=5,43&sciodt=0,43&hl=en&num=20",4111654360177527070,4.0,"https://scholar.google.com/scholar?cluster=4111654360177527070&hl=en&num=20&as_sdt=0,43&as_vis=1",4111654360177527070,PDF,fsb.hr,http://powerlab.fsb.hr/neven/pdf/Using_neural_network_modelling_for_estimation_and_forecasting_of_transport_sector_energy_demand_in_developing_countries.pdf
1,16,,Neural network correlation for power peak factor estimation,https://www.sciencedirect.com/science/article/pii/S0306454906000417,Pyyzpx-zoqkJ,"RMGP Souza, JML Moreira - Annals of Nuclear Energy, 2006 - Elsevier","… artificial neural network technique, to predict accurately and in real time the power peak factor in a form that can be implemented in reactor protection systems. The neural network inputs …",42.0,"https://scholar.google.com/scholar?cites=12223529287175842879&as_sdt=5,43&sciodt=0,43&hl=en&num=20",12223529287175842879,9.0,"https://scholar.google.com/scholar?cluster=12223529287175842879&hl=en&num=20&as_sdt=0,43&as_vis=1",12223529287175842879,PDF,cdtn.br,http://www.repositorio.cdtn.br:8080/jspui/bitstream/123456789/434/1/Art-01_Rose_Mary_GPSouza.pdf
