page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
1,1,,Monthly energy consumption forecast: A deep learning approach,https://ieeexplore.ieee.org/abstract/document/7966398/,SIZktC3DGtAJ,"RF Berriel, AT Lopes, A Rodrigues… - … Joint Conference on …, 2017 - ieeexplore.ieee.org","… the energy consumption prediction problem. In this work, we propose a system to predict monthly energy consumption using deep learning techniques. Three deep learning models …",96.0,"https://scholar.google.com/scholar?cites=14995512510350919240&as_sdt=5,44&sciodt=0,44&hl=en&num=20",14995512510350919240,2.0,"https://scholar.google.com/scholar?cluster=14995512510350919240&hl=en&num=20&as_sdt=0,44&as_vis=1",14995512510350919240,PDF,researchgate.net,https://www.researchgate.net/profile/Rodrigo-Berriel/publication/318332587_Monthly_energy_consumption_forecast_A_deep_learning_approach/links/59a04cfa0f7e9b0fb8992f85/Monthly-energy-consumption-forecast-A-deep-learning-approach.pdf
1,2,,CBLSTM-AE: a hybrid deep learning framework for predicting energy consumption,https://www.mdpi.com/1462582,JHXE_jZ6nE0J,"O Jogunola, B Adebisi, KV Hoang, Y Tsado, SI Popoola… - Energies, 2022 - mdpi.com","… data predictive frameworks to minimise prediction error. This work presents a hybrid deep learning framework to accurately predict the energy consumption of different building types, …",15.0,"https://scholar.google.com/scholar?cites=5592479213908423972&as_sdt=5,44&sciodt=0,44&hl=en&num=20",5592479213908423972,9.0,"https://scholar.google.com/scholar?cluster=5592479213908423972&hl=en&num=20&as_sdt=0,44&as_vis=1",5592479213908423972,PDF,mdpi.com,https://www.mdpi.com/1996-1073/15/3/810/pdf
1,3,,Carbontracker: Tracking and predicting the carbon footprint of training deep learning models,https://arxiv.org/abs/2007.03051,-UMw35BO3RUJ,"LFW Anthony, B Kanding, R Selvan - arXiv preprint arXiv:2007.03051, 2020 - arxiv.org","… If practitioners are aware of their energy and carbon footprint, then they … predicting the energy and carbon footprint of training DL models. We propose that energy and carbon footprint of …",197.0,"https://scholar.google.com/scholar?cites=1575501828776281081&as_sdt=5,44&sciodt=0,44&hl=en&num=20",1575501828776281081,3.0,"https://scholar.google.com/scholar?cluster=1575501828776281081&hl=en&num=20&as_sdt=0,44&as_vis=1",1575501828776281081,PDF,arxiv.org,https://arxiv.org/pdf/2007.03051
1,4,,Real-time power prediction approach for turbine using deep learning techniques,https://www.sciencedirect.com/science/article/pii/S0360544221013785,dRT7pyNBP_4J,"L Sun, T Liu, Y Xie, D Zhang, X Xia - Energy, 2021 - Elsevier","… In this section, the prediction performance of deep-learning models including RNN and CNN is displayed. The overall schematic of the results is shown in Fig. 10a) and b). …",23.0,"https://scholar.google.com/scholar?cites=18320433430564377717&as_sdt=5,44&sciodt=0,44&hl=en&num=20",18320433430564377717,4.0,"https://scholar.google.com/scholar?cluster=18320433430564377717&hl=en&num=20&as_sdt=0,44&as_vis=1",18320433430564377717,,,
1,5,,A granular deep learning approach for predicting energy consumption,https://www.sciencedirect.com/science/article/pii/S1568494620300314,2WPFjRsz8hsJ,"RK Jana, I Ghosh, MK Sanyal - Applied Soft Computing, 2020 - Elsevier",… This paper proposes a granular deep learning approach … (LSTM) network for predicting the energy consumption of different … MODWT is then used to decompose the energy consumption …,32.0,"https://scholar.google.com/scholar?cites=2013728176823690201&as_sdt=5,44&sciodt=0,44&hl=en&num=20",2013728176823690201,3.0,"https://scholar.google.com/scholar?cluster=2013728176823690201&hl=en&num=20&as_sdt=0,44&as_vis=1",2013728176823690201,,,
1,6,,A generic energy prediction model of machine tools using deep learning algorithms,https://www.sciencedirect.com/science/article/pii/S0306261920309144,KMs21S6vLEAJ,"Y He, P Wu, Y Li, Y Wang, F Tao, Y Wang - Applied Energy, 2020 - Elsevier","… impractical to identify energy consumption features manually for energy model development. … -driven energy prediction approach using deep learning algorithms. Here, deep learning is …",57.0,"https://scholar.google.com/scholar?cites=4624263533083151144&as_sdt=5,44&sciodt=0,44&hl=en&num=20",4624263533083151144,6.0,"https://scholar.google.com/scholar?cluster=4624263533083151144&hl=en&num=20&as_sdt=0,44&as_vis=1",4624263533083151144,,,
1,7,,Electric energy consumption prediction by deep learning with state explainable autoencoder,https://www.mdpi.com/416880,wvQ0fw6I-ZgJ,"JY Kim, SB Cho - Energies, 2019 - mdpi.com","… is necessary to predict energy demand according to various conditions. In this paper, we propose a method to predict energy demand in various situations using a deep learning model …",102.0,"https://scholar.google.com/scholar?cites=11022991158811096258&as_sdt=5,44&sciodt=0,44&hl=en&num=20",11022991158811096258,9.0,"https://scholar.google.com/scholar?cluster=11022991158811096258&hl=en&num=20&as_sdt=0,44&as_vis=1",11022991158811096258,PDF,mdpi.com,https://www.mdpi.com/1996-1073/12/4/739/pdf
1,8,Html,Towards efficient and effective renewable energy prediction via deep learning,https://www.sciencedirect.com/science/article/pii/S2352484722014524,F4CmxaxV6HYJ,"ZA Khan, T Hussain, IU Haq, FUM Ullah, SW Baik - Energy Reports, 2022 - Elsevier","… deep learning (DL)-based models from other domains directly into the time series prediction domain, such as solar power prediction, … models for solar power prediction and report …",14.0,"https://scholar.google.com/scholar?cites=8568192491611127831&as_sdt=5,44&sciodt=0,44&hl=en&num=20",8568192491611127831,,{},{},HTML,sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S2352484722014524
1,9,,Energy consumption modelling using deep learning embedded semi-supervised learning,https://www.sciencedirect.com/science/article/pii/S0360835219303821,OJK-uDFeZkAJ,"C Chen, Y Liu, M Kumar, J Qin, Y Ren - Computers & Industrial Engineering, 2019 - Elsevier","… The enriched dataset yielded by DLeSSL is then used to build a deep learning model to predict energy consumption. After the prediction models are established, algorithm performance …",54.0,"https://scholar.google.com/scholar?cites=4640500033697780280&as_sdt=5,44&sciodt=0,44&hl=en&num=20",4640500033697780280,6.0,"https://scholar.google.com/scholar?cluster=4640500033697780280&hl=en&num=20&as_sdt=0,44&as_vis=1",4640500033697780280,PDF,cardiff.ac.uk,https://orca.cardiff.ac.uk/id/eprint/123717/3/1-s2.0-S0360835219303821-main.pdf
1,10,Html,Evaluation of different deep-learning models for the prediction of a ship's propulsion power,https://www.mdpi.com/2077-1312/9/2/116?trk=organization_guest_main-feed-card-text,Vwm9iaQvgH8J,"P Theodoropoulos, CC Spandonidis… - Journal of Marine …, 2021 - mdpi.com",… development of deep-learning models that can be utilized to predict the propulsion power of … process for each of the developed deep-learning models. Factors and parameters that …,20.0,"https://scholar.google.com/scholar?cites=9187395623567821143&as_sdt=5,44&sciodt=0,44&hl=en&num=20",9187395623567821143,4.0,"https://scholar.google.com/scholar?cluster=9187395623567821143&hl=en&num=20&as_sdt=0,44&as_vis=1",9187395623567821143,HTML,mdpi.com,https://www.mdpi.com/2077-1312/9/2/116?trk=organization_guest_main-feed-card-text
