page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
12,1,,Towards software-adaptive green computing based on server power consumption,https://dl.acm.org/doi/abs/10.1145/2593743.2593745,wIVS14HrliIJ,"A Bergen, R Desmarais, S Ganti, U Stege - Proceedings of the 3rd …, 2014 - dl.acm.org",… energy consumption to energy consumption due to program execution. In this paper we report on our investigations to characterize power consumption … on the power consumption of …,8.0,"https://scholar.google.com/scholar?cites=2492438386691966400&as_sdt=2005&sciodt=0,5&hl=en&num=20",2492438386691966400,,{},{},,,
12,2,,Hardware loads and power consumption in cloud computing environments,https://ieeexplore.ieee.org/abstract/document/6505859/,byUJxZTsoW0J,"RI Dinita, G Wilson, A Winckles… - 2013 IEEE …, 2013 - ieeexplore.ieee.org",… Computing’ environment and it presents a set of preliminary test results. One key advantage of this system is its ability to improve hardware power consumption … to both energy efficiency …,9.0,"https://scholar.google.com/scholar?cites=7899855345089586543&as_sdt=2005&sciodt=0,5&hl=en&num=20",7899855345089586543,4.0,"https://scholar.google.com/scholar?cluster=7899855345089586543&hl=en&num=20&as_sdt=0,5&as_vis=1",7899855345089586543,PDF,anglia.ac.uk,https://arro.anglia.ac.uk/id/eprint/615120/6/Dinita_et_al_2013.pdf
12,3,,Efficiency energy consumption in cloud computing based on constant position selection policy in dynamic virtual machine consolidation,https://www.ingentaconnect.com/contentone/asp/asl/2014/00000020/f0030010/art00083,skIqlSWVfLMJ,"GF Shidik, A Ashari - Advanced Science Letters, 2014 - ingentaconnect.com","… Nowadays, energy efficient become an important issue … electrical energy consumption in Cloud Computing area … will be evaluate by measures Energy Consumption, SLAV, SLATAH, …",8.0,"https://scholar.google.com/scholar?cites=12933376218550125234&as_sdt=2005&sciodt=0,5&hl=en&num=20",12933376218550125234,3.0,"https://scholar.google.com/scholar?cluster=12933376218550125234&hl=en&num=20&as_sdt=0,5&as_vis=1",12933376218550125234,PDF,dinus.ac.id,http://eprints.dinus.ac.id/14136/1/Scopus_Journal_-_Efficiency_Energy_Consumption_in_Cloud_Computing_based_on_Constant_Position_Selection_Policy_in_Dynamic_VM_Consolidation_-_2014.pdf
12,4,,On prediction to dynamically assign heterogeneous microprocessors to the minimum joint power state to achieve ultra low power cloud computing,https://ieeexplore.ieee.org/abstract/document/5757735/,T4Gxc1ayV8UJ,"K Nagothu, B Kelley, J Prevost… - … Conference Record of …, 2010 - ieeexplore.ieee.org",… set of high performance and high power microprocessors. The use of the … power resources. We describe significant potential improvements for energy efficiency in cloud computing …,10.0,"https://scholar.google.com/scholar?cites=14220030432823574863&as_sdt=2005&sciodt=0,5&hl=en&num=20",14220030432823574863,2.0,"https://scholar.google.com/scholar?cluster=14220030432823574863&hl=en&num=20&as_sdt=0,5&as_vis=1",14220030432823574863,,,
12,5,,Energy Consumption Optimal Design of Power Grid Inspection Trajectory for UAV Mobile Edge Computing Node,https://ieeexplore.ieee.org/abstract/document/9436834/,sTF_KLf_UrQJ,"Y Zhang, J Li, L Zhang, N Zhao, W Tang… - … on Power and …, 2021 - ieeexplore.ieee.org",… the UAV’s computing energy consumption and flight energy consumption while ensuring that … in the wireless energy harvesting sensor network where the UAV is used as a mobile edge …,3.0,"https://scholar.google.com/scholar?cites=12993729037040824753&as_sdt=2005&sciodt=0,5&hl=en&num=20",12993729037040824753,,{},{},,,
12,6,,Renewable prediction-driven service offloading for IoT-enabled energy systems with edge computing,https://link.springer.com/article/10.1007/s11276-021-02740-w,pmDsNpSwp0wJ,"Z Fang, X Xu, M Bilal, A Jolfaei - Wireless Networks, 2021 - Springer","… and renewable energy prediction as an organic whole, which would cause the QoS of the … energy prediction for IoT-enabled energy systems powered by renewable energy sources. …",3.0,"https://scholar.google.com/scholar?cites=5523577618616311974&as_sdt=2005&sciodt=0,5&hl=en&num=20",5523577618616311974,4.0,"https://scholar.google.com/scholar?cluster=5523577618616311974&hl=en&num=20&as_sdt=0,5&as_vis=1",5523577618616311974,PDF,google.com,https://drive.google.com/file/d/1p2DR-rT0alba4FoSeBxekmP6q_2aiBbR/view
12,7,Pdf,Towards secure mobile computing: Employing power-consumption information to detect malware on mobile devices,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=7be56f2f7362154c4d5cda718c4b349e54202ed9,sabhxKPrC84J,"T Zefferer, P Teufl, D Derler, K Potzmader… - Int. journal on advances …, 2014 - Citeseer","… the power consumption of applications on smartphones. In Section IV, we show that measured power-consumption … to analyze collected powerconsumption information and propose two …",8.0,"https://scholar.google.com/scholar?cites=14847219685172291249&as_sdt=2005&sciodt=0,5&hl=en&num=20",14847219685172291249,3.0,"https://scholar.google.com/scholar?cluster=14847219685172291249&hl=en&num=20&as_sdt=0,5&as_vis=1",14847219685172291249,PDF,psu.edu,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=7be56f2f7362154c4d5cda718c4b349e54202ed9
12,8,,Energy consumption in cloud computing environments,https://su-plus.strathmore.edu/handle/11071/5181,3BaTfXDwT10J,"MD Kenga, VO Omwenga O, PJ Ogao - 2017 - su-plus.strathmore.edu","… of energy consumption and the factors that influence energy consumption in cloud computing … As future work, a conceptual model will be developed, which will aid in developing energy …",5.0,"https://scholar.google.com/scholar?cites=6723857134621234908&as_sdt=2005&sciodt=0,5&hl=en&num=20",6723857134621234908,,{},{},PDF,strathmore.edu,https://su-plus.strathmore.edu/bitstream/handle/11071/5181/Energy%20consumption%20in%20cloud%20computing%20environments.pdf?isAllowed=y&sequence=1
12,9,,Workload Allocation Towards Energy Consumption-delay Trade-off in Cloud-fog Computing using Multi-objective NPSO Algorithm,https://ieeexplore.ieee.org/abstract/document/10101784/,ClBniLzOUp8J,"FA Saif, R Latip, ZM Hanapi, MA Alrshah… - IEEE …, 2023 - ieeexplore.ieee.org","… energy consumption. Thus, this study proposes a mathematical framework for workload allocation to model the power consumption … proposed to reduce energy consumption and delay …",,{},{},,{},{},PDF,ieee.org,https://ieeexplore.ieee.org/iel7/6287639/6514899/10101784.pdf
12,10,,Incorporation of weighted linear prediction technique and M/M/1 Queuing Theory for improving energy efficiency of Cloud computing datacenters,https://ieeexplore.ieee.org/abstract/document/7494148/,newFUjcKZU8J,"E Akbari, F Cung, H Patel, A Razaque… - 2016 IEEE Long Island …, 2016 - ieeexplore.ieee.org","… to improve the development of Cloud computing. As a result, in … energy consumption in cloud computing technology. This research will report on incorporating weighted linear prediction …",7.0,"https://scholar.google.com/scholar?cites=5720990134359682205&as_sdt=2005&sciodt=0,5&hl=en&num=20",5720990134359682205,,{},{},,,
