page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
1,1,Pdf,ICT energy consumption-trends and challenges,https://www.vodafone-chair.org/pbls/legacy/gerhard-fettweis/ICT_Energy_Consumption_-_Trends_and_Challenges.pdf,CIxrv3D4sjYJ,"G Fettweis, E Zimmermann - Proceedings of the 11th …, 2008 - vodafone-chair.org",… a price: ICT systems are meanwhile responsible for the same amount of CO2 emissions as global air travel. If the growth of ICT systems energy consumption … the energy efficiency of ICT …,775,"https://scholar.google.com/scholar?cites=3941485787034127368&as_sdt=800005&sciodt=0,15&hl=en&num=20",3941485787034127368,5.0,"https://scholar.google.com/scholar?cluster=3941485787034127368&hl=en&num=20&as_sdt=0,15&as_vis=1",3941485787034127368,PDF,vodafone-chair.org,https://www.vodafone-chair.org/pbls/legacy/gerhard-fettweis/ICT_Energy_Consumption_-_Trends_and_Challenges.pdf
1,2,,Digitalization and energy consumption. Does ICT reduce energy demand?,https://www.sciencedirect.com/science/article/pii/S0921800919320622,iRCT51THNNIJ,"S Lange, J Pohl, T Santarius - Ecological economics, 2020 - Elsevier","… digitalization on the change in energy consumption ( E ̂ ) … energy consumption of the ICT sector ( E ̂ ICT ), (II) the impact of digitalization on economic growth, (III) its impact on energy …",438,"https://scholar.google.com/scholar?cites=15146950614230175881&as_sdt=800005&sciodt=0,15&hl=en&num=20",15146950614230175881,9.0,"https://scholar.google.com/scholar?cluster=15146950614230175881&hl=en&num=20&as_sdt=0,15&as_vis=1",15146950614230175881,PDF,santarius.de,http://www.santarius.de/wp-content/uploads/2020/08/Digitalization-and-energy-consumption-Ecological-Economics-LangePohlSantarius-2020.pdf
1,3,,The effect of ICT development on economic growth and energy consumption in Japan,https://www.sciencedirect.com/science/article/pii/S0736585314000331,Ujo_DlPIhg4J,"H Ishida - Telematics and Informatics, 2015 - Elsevier","… and communication technologies (ICT) contribute to both a reduction in energy use and an … this analysis is to estimate the long-run relationship between ICT, energy consumption, and …",366,"https://scholar.google.com/scholar?cites=1046744222457084498&as_sdt=800005&sciodt=0,15&hl=en&num=20",1046744222457084498,2.0,"https://scholar.google.com/scholar?cluster=1046744222457084498&hl=en&num=20&as_sdt=0,15&as_vis=1",1046744222457084498,,,
1,4,Pdf,Energy Consumed vs. Energy Saved by ICT-A Closer Look.,http://enviroinfo.eu/sites/default/files/pdfs/vol122/0347.pdf,R49aIKnTVhwJ,"VC Coroama, LM Hilty - EnviroInfo (2), 2009 - enviroinfo.eu","… Moreover, in the energy efficiency discourse, ICT is usually treated as a monolithic block of … the case that ICT energy consumption and ICT’s potential for inducing energy efficiency can – …",70,"https://scholar.google.com/scholar?cites=2042052204404838215&as_sdt=800005&sciodt=0,15&hl=en&num=20",2042052204404838215,7.0,"https://scholar.google.com/scholar?cluster=2042052204404838215&hl=en&num=20&as_sdt=0,15&as_vis=1",2042052204404838215,PDF,enviroinfo.eu,http://enviroinfo.eu/sites/default/files/pdfs/vol122/0347.pdf
1,5,,ICT development and sustainable energy consumption: A perspective of energy productivity,https://www.mdpi.com/318724,IFDdAOk2k-oJ,"Z Yan, R Shi, Z Yang - Sustainability, 2018 - mdpi.com","… ICT relates to sustainable energy consumption, this paper empirically tests the relationship between ICT development and energy … results indicate that the ICT development is positively …",48,"https://scholar.google.com/scholar?cites=16902914200821387296&as_sdt=800005&sciodt=0,15&hl=en&num=20",16902914200821387296,11.0,"https://scholar.google.com/scholar?cluster=16902914200821387296&hl=en&num=20&as_sdt=0,15&as_vis=1",16902914200821387296,PDF,mdpi.com,https://www.mdpi.com/2071-1050/10/7/2568/pdf
1,6,,The effect of ICT on energy consumption and economic growth in South Asian economies: an empirical analysis,https://www.sciencedirect.com/science/article/pii/S0736585320301969,bnTPBQ2SOFoJ,"A Usman, I Ozturk, A Hassan, SM Zafar… - Telematics and Informatics, 2021 - Elsevier","… of ICT on economic performance and energy consumption of … (ICT) on economic performance and energy consumption of … The findings of the study confirm that, in the long-run, ICT …",178,"https://scholar.google.com/scholar?cites=6501106646739022958&as_sdt=800005&sciodt=0,15&hl=en&num=20",6501106646739022958,2.0,"https://scholar.google.com/scholar?cluster=6501106646739022958&hl=en&num=20&as_sdt=0,15&as_vis=1",6501106646739022958,PDF,text2fa.ir,http://text2fa.ir/wp-content/uploads/Text2fa.ir-The-effect-of-ICT-on-energy-consumption.pdf
1,7,,The role of ICT in energy consumption and environment: an empirical investigation of Asian economies with cluster analysis,https://link.springer.com/article/10.1007/s11356-020-09229-7,B48ECkogNFsJ,"Z Arshad, M Robaina, A Botelho - Environmental Science and Pollution …, 2020 - Springer",… ICT to CO 2 emissions. Policymakers should be aware of the ICT impact on energy consumption and strengthen the regulation of their manufacture to facilitate the integration of energy …,71,"https://scholar.google.com/scholar?cites=6571913258608135943&as_sdt=800005&sciodt=0,15&hl=en&num=20",6571913258608135943,6.0,"https://scholar.google.com/scholar?cluster=6571913258608135943&hl=en&num=20&as_sdt=0,15&as_vis=1",6571913258608135943,,,
1,8,Pdf,The role of ICT in energy consumption and energy efficiency,http://publicationslist.org/data/lorenz.hilty/ref-42/2009-08%20Hilty%20Coroama%20et%20al%20EU%20ENSURE%20ICT%20Energy.pdf,inu42iFbbmoJ,"LM Hilty, V Coroama, MO De Eicker… - … INFSO, Project ICT …, 2009 - publicationslist.org",… • The results of expert interviews regarding future ICT energy consumption and future applications of ICT for energy efficiency. In addition to comparing business-as-usual with energy …,46,"https://scholar.google.com/scholar?cites=7669167416420105098&as_sdt=800005&sciodt=0,15&hl=en&num=20",7669167416420105098,7.0,"https://scholar.google.com/scholar?cluster=7669167416420105098&hl=en&num=20&as_sdt=0,15&as_vis=1",7669167416420105098,PDF,publicationslist.org,http://publicationslist.org/data/lorenz.hilty/ref-42/2009-08%20Hilty%20Coroama%20et%20al%20EU%20ENSURE%20ICT%20Energy.pdf
1,9,,Effective management of energy consumption during the COVID-19 pandemic: The role of ICT solutions,https://www.mdpi.com/992122,5vgPoiGQrzUJ,"W Strielkowski, I Firsova, I Lukashenko… - Energies, 2021 - mdpi.com",… consumption during the COVID-19 pandemic. The … energy consumption and energy prices in many countries and how it paved the way for the new ICT in managing energy consumption…,77,"https://scholar.google.com/scholar?cites=3868469079061821670&as_sdt=800005&sciodt=0,15&hl=en&num=20",3868469079061821670,13.0,"https://scholar.google.com/scholar?cluster=3868469079061821670&hl=en&num=20&as_sdt=0,15&as_vis=1",3868469079061821670,PDF,mdpi.com,https://www.mdpi.com/1996-1073/14/4/893/pdf
1,10,Html,"ICT, energy consumption, financial development, and environmental degradation in South Africa",https://www.sciencedirect.com/science/article/pii/S2405844021014316,UDeMRtzMxLwJ,"F Atsu, S Adams, J Adjei - Heliyon, 2021 - Elsevier","… whether this has any effect on the ICT, energy consumption and CO 2 emissions nexus. In … Finally, we employ both linear and nonlinear estimation techniques to help identify the …",49,"https://scholar.google.com/scholar?cites=13602222021014206288&as_sdt=800005&sciodt=0,15&hl=en&num=20",13602222021014206288,6.0,"https://scholar.google.com/scholar?cluster=13602222021014206288&hl=en&num=20&as_sdt=0,15&as_vis=1",13602222021014206288,HTML,sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S2405844021014316
1,11,,Energy consumption in China's ICT sectors: From the embodied energy perspective,https://www.sciencedirect.com/science/article/pii/S1364032122002283,pCMvMpZ_hekJ,"J Shi, C Li, H Li - Renewable and Sustainable Energy Reviews, 2022 - Elsevier",… energy consumption of ICT sectors. The main reason may be that the direct energy consumption of ICT sectors (DEI) is relatively minor compared to that of energy-intensive sectors such …,8,"https://scholar.google.com/scholar?cites=16826995865803498404&as_sdt=800005&sciodt=0,15&hl=en&num=20",16826995865803498404,3.0,"https://scholar.google.com/scholar?cluster=16826995865803498404&hl=en&num=20&as_sdt=0,15&as_vis=1",16826995865803498404,,,
1,12,Html,Trends in energy consumption under the multi-stage development of ICT: Evidence in China from 2001 to 2030,https://www.sciencedirect.com/science/article/pii/S2352484722012677,YOz0nBAvJ0YJ,"P Wang, P Zhong, M Yu, Y Pu, S Zhang, P Yu - Energy Reports, 2022 - Elsevier","… impact of ICT development level on energy consumption in China from 2001 to 2030. The development level of ICT is … Energy consumption is divided into four categories: data centers, …",7,"https://scholar.google.com/scholar?cites=5055060855145950304&as_sdt=800005&sciodt=0,15&hl=en&num=20",5055060855145950304,,{},{},HTML,sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S2352484722012677
1,13,Html,Smart campus: data on energy consumption in an ICT-driven university,https://www.sciencedirect.com/science/article/pii/S235234091730687X,SKW4tBh2jZcJ,"SI Popoola, AA Atayero, TT Okanlawon, BI Omopariola… - Data in brief, 2018 - Elsevier","… article contain useful information about the electrical energy consumption in an ICT-driven university community. The total amount of electricity consumed at Covenant University, Ota, …",45,"https://scholar.google.com/scholar?cites=10920514519926613320&as_sdt=800005&sciodt=0,15&hl=en&num=20",10920514519926613320,11.0,"https://scholar.google.com/scholar?cluster=10920514519926613320&hl=en&num=20&as_sdt=0,15&as_vis=1",10920514519926613320,HTML,sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S235234091730687X
1,14,,"Dynamic influence of aging, industrial innovations, and ICT on tourism development and renewable energy consumption in BRICS economies",https://www.sciencedirect.com/science/article/pii/S0960148122006024,cCZ11J9V3-UJ,"S Bano, L Liu, A Khan - Renewable energy, 2022 - Elsevier","… The primary objective of this research was to estimate the influence of ageing, ICT, and technological innovations on renewable energy consumption and tourism in BRICS economies …",22,"https://scholar.google.com/scholar?cites=16564052099444582000&as_sdt=800005&sciodt=0,15&hl=en&num=20",16564052099444582000,4.0,"https://scholar.google.com/scholar?cluster=16564052099444582000&hl=en&num=20&as_sdt=0,15&as_vis=1",16564052099444582000,,,
