page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
1,1,Pdf,Run-time Energy Consumption Estimation Based on Workload in Server Systems.,https://www.usenix.org/legacy/event/hotpower08/tech/full_papers/lewis/lewis.pdf,aFJkZpkzzgwJ,"AW Lewis, S Ghosh, NF Tzeng - HotPower, 2008 - usenix.org","… on an example server architecture, we develop our model to estimate run-time power consumption. … to take advantage of this estimation model when dispatching jobs to confine server …",157.0,"https://scholar.google.com/scholar?cites=922731707598393960&as_sdt=5,33&sciodt=0,33&hl=en&num=20",922731707598393960,8.0,"https://scholar.google.com/scholar?cluster=922731707598393960&hl=en&num=20&as_sdt=0,33&as_vis=1",922731707598393960,PDF,usenix.org,https://www.usenix.org/legacy/event/hotpower08/tech/full_papers/lewis/lewis.pdf
1,2,,A monotonically increasing (MI) algorithm to estimate energy consumption and execution time of processes on a server,https://link.springer.com/chapter/10.1007/978-3-030-84913-9_1,oA294uQ4YygJ,"D Duolikun, T Enokido, L Barolli… - Advances in Networked …, 2021 - Springer","… process so that total energy consumption of servers can be reduced. Here, we have to estimate how much energy a server consumes to perform processes. In the simple estimation (SP) …",9.0,"https://scholar.google.com/scholar?cites=2910232339919211936&as_sdt=5,33&sciodt=0,33&hl=en&num=20",2910232339919211936,2.0,"https://scholar.google.com/scholar?cluster=2910232339919211936&hl=en&num=20&as_sdt=0,33&as_vis=1",2910232339919211936,,,
1,3,,Measuring server energy proportionality,https://dl.acm.org/doi/abs/10.1145/2668930.2688049,u2BWTo-xR0wJ,"CH Hsu, SW Poole - Proceedings of the 6th ACM/SPEC International …, 2015 - dl.acm.org","… measuring server energy disproportionality. The metrics discussed in this section all measure … Given a set of m samples {(lj , Pj )}, the following are a few possible metrics for measuring …",21.0,"https://scholar.google.com/scholar?cites=5496557099281703099&as_sdt=5,33&sciodt=0,33&hl=en&num=20",5496557099281703099,4.0,"https://scholar.google.com/scholar?cluster=5496557099281703099&hl=en&num=20&as_sdt=0,33&as_vis=1",5496557099281703099,PDF,acm.org,https://dl.acm.org/doi/pdf/10.1145/2668930.2688049
1,4,,"Web server power estimation, modeling and management",https://ieeexplore.ieee.org/abstract/document/4087759/,DTgdQWx8PIgJ,"CH Lien, YW Bai, MB Lin, CY Chang… - 2006 14th IEEE …, 2006 - ieeexplore.ieee.org","… We analyze the power consumption of a Web server as a function of a server's utilization … In this subsection, we present some power estimation models of a Web server by using the …",20.0,"https://scholar.google.com/scholar?cites=9816858092151584781&as_sdt=5,33&sciodt=0,33&hl=en&num=20",9816858092151584781,3.0,"https://scholar.google.com/scholar?cluster=9816858092151584781&hl=en&num=20&as_sdt=0,33&as_vis=1",9816858092151584781,PDF,researchgate.net,https://www.researchgate.net/profile/Ming-Bo-Lin/publication/224281731_Web_Server_Power_Estimation_Modeling_and_Management/links/55555a2e08ae6943a871c4bf/Web-Server-Power-Estimation-Modeling-and-Management.pdf
1,5,,Runtime energy consumption estimation for server workloads based on chaotic time-series approximation,https://dl.acm.org/doi/abs/10.1145/2355585.2355588,IS-OsJWNOtQJ,"AW Lewis, NF Tzeng, S Ghosh - ACM Transactions on Architecture and …, 2012 - dl.acm.org","… model that relates server energy consumption to … server power consumption through subsystem models, our approach is different in that it links system energy input to subsystem energy …",32.0,"https://scholar.google.com/scholar?cites=15292691158741692193&as_sdt=5,33&sciodt=0,33&hl=en&num=20",15292691158741692193,6.0,"https://scholar.google.com/scholar?cluster=15292691158741692193&hl=en&num=20&as_sdt=0,33&as_vis=1",15292691158741692193,PDF,acm.org,https://dl.acm.org/doi/pdf/10.1145/2355585.2355588
1,6,,The SKE‐DOCK server and human teams based on a combined method of shape complementarity and free energy estimation,https://onlinelibrary.wiley.com/doi/abs/10.1002/prot.21772,e3fQ0UMZgAAJ,"G Terashi, M Takeda‐Shitaka, K Kanou… - Proteins: Structure …, 2007 - Wiley Online Library","… The SKE-DOCK server is based on simple geometry docking … The SKE-DOCK server did not make use of biological … the processes of the SKE-DOCK server, together with results and …",33.0,"https://scholar.google.com/scholar?cites=36056576092567419&as_sdt=5,33&sciodt=0,33&hl=en&num=20",36056576092567419,3.0,"https://scholar.google.com/scholar?cluster=36056576092567419&hl=en&num=20&as_sdt=0,33&as_vis=1",36056576092567419,,,
1,7,,Simple estimation and energy‐aware migration models of virtual machines in a server cluster,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.4771,dInDJnXKU2sJ,"R Watanabe, D Duolikun… - … : Practice and Experience, 2018 - Wiley Online Library","… to more energy-efficient servers. We also propose a simple way to estimate the termination time of every process on each server. In the evaluation, we show the total electric energy …",9.0,"https://scholar.google.com/scholar?cites=7733747589635606900&as_sdt=5,33&sciodt=0,33&hl=en&num=20",7733747589635606900,2.0,"https://scholar.google.com/scholar?cluster=7733747589635606900&hl=en&num=20&as_sdt=0,33&as_vis=1",7733747589635606900,PDF,researchgate.net,https://www.researchgate.net/profile/Makoto-Takizawa/publication/345120412_Simple_estimation_and_energy-aware_migration_models_of_virtual_machines_in_a_server_cluster/links/60601d2692851cd8ce6fc5ca/Simple-estimation-and-energy-aware-migration-models-of-virtual-machines-in-a-server-cluster.pdf
1,8,,Modeling the correlation between the workload and the power consumed by a server using stochastic and non‐parametric approaches,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.3118,VQgsgXmqWlcJ,"S El Motaki, A Yahyaouy… - Software: Practice and …, 2022 - Wiley Online Library","… power estimation model for a server to assess a statistical relationship between the CPU usage and the power … to consider a cluster instead of a single server. Typically, the main focus is …",1.0,"https://scholar.google.com/scholar?cites=6294530868038600789&as_sdt=5,33&sciodt=0,33&hl=en&num=20",6294530868038600789,,{},{},,,
1,9,,Study on data center server management system for using server power estimation technology,https://ieeexplore.ieee.org/abstract/document/9943609/,hsP0KafwuukJ,"K Fujita, E Iwasa, M Kaneko - 2022 27th Asia Pacific …, 2022 - ieeexplore.ieee.org",… Our motivation is to apply the server power consumption estimation technology to a data center and use an estimation value as a control parameter. The data center we envision runs …,,{},{},,{},{},,,
1,10,,Reducing power consumed by a PC-based server in an Internet-based data acquisition system using a novel server agent,https://ieeexplore.ieee.org/abstract/document/5533780/,18009IE0GQoJ,"IC Shen, TJ Liu - 2010 International Symposium on Computer …, 2010 - ieeexplore.ieee.org","… is to turn the PC-based server on or off automatically to reduce power consumption. Thus, the … of server (Fig. 2). In the new system, the data server cooperates with the Server Agent. The …",3.0,"https://scholar.google.com/scholar?cites=727670547549572567&as_sdt=5,33&sciodt=0,33&hl=en&num=20",727670547549572567,2.0,"https://scholar.google.com/scholar?cluster=727670547549572567&hl=en&num=20&as_sdt=0,33&as_vis=1",727670547549572567,,,
