,original_title,ISBN,ISSN,DOI,URLs,Proceedings title,Abstract,Authors,Journal,Publication year,Date published,URLs,title,keep_title
0,Quantifying the Energy Consumption of a Pocket Computer and a Java Virtual Machine,"9,78158E+12",,10.1145/339331.339421,https://doi.org/10.1145/339331.339421;http://dx.doi.org/10.1145/339331.339421,Proceedings of the 2000 ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems,"In this paper, we examine the energy consumption of a state-of-the-art pocket computer. Using a data acquisition system, we measure the energy consumption of the Itsy Pocket Computer, developed by Compaq Computer Corporation's Palo Alto Research Labs. We begin by showing that the energy usage characteristics of the Itsy differ markedly from that of a notebook computer. Then, since we expect that flexible software environments will become increasingly prevalent on pocket computers, we consider applications running in a Java environment. In particular, we explain some of the Java design tradeoffs applicable to pocket computers, and quantify their energy costs. For the design options we considered and the three workloads we studied, we find a maximum change in energy use of 25%.","Farkas KI,Flinn J,Back G,Grunwald D,Anderson JM",,2000,2000,https://doi.org/10.1145/339331.339421;http://dx.doi.org/10.1145/339331.339421,quantifying the energy consumption of a pocket computer and a java virtual machine,1
1,Quantifying the Energy Consumption of a Pocket Computer and a Java Virtual Machine,,0163-5999,10.1145/345063.339421,https://doi.org/10.1145/345063.339421;http://dx.doi.org/10.1145/345063.339421,,"In this paper, we examine the energy consumption of a state-of-the-art pocket computer. Using a data acquisition system, we measure the energy consumption of the Itsy Pocket Computer, developed by Compaq Computer Corporation's Palo Alto Research Labs. We begin by showing that the energy usage characteristics of the Itsy differ markedly from that of a notebook computer. Then, since we expect that flexible software environments will become increasingly prevalent on pocket computers, we consider applications running in a Java environment. In particular, we explain some of the Java design tradeoffs applicable to pocket computers, and quantify their energy costs. For the design options we considered and the three workloads we studied, we find a maximum change in energy use of 25%.","Farkas KI,Flinn J,Back G,Grunwald D,Anderson JM",SIGMETRICS Perform. Eval. Rev.,2000,2000-06,https://doi.org/10.1145/345063.339421;http://dx.doi.org/10.1145/345063.339421,quantifying the energy consumption of a pocket computer and a java virtual machine,1
3,Cloud Computing Virtual Machine Migration Energy Measuring Research,"9,78145E+12",,10.1145/3387168.3387192,https://doi.org/10.1145/3387168.3387192;http://dx.doi.org/10.1145/3387168.3387192,"Proceedings of the 3rd International Conference on Vision, Image and Signal Processing","This paper research virtual machine migration energy measuring on IPv4/IPv6 network based on cloud computing infrastructure platform, it conducts a research on the energy measuring in IPv4/IPv6 cloud computing platform, and presents a dynamic energy measuring mathematical model based on analyzing CPU energy consumption changes brought by random assignment works. The research determines mathematical model parameter values and it completes the IPv4/IPv6 cloud computing platform virtual machine migration experimentally. This paper achieves the energy consumption of IPv4/IPv6 transition prior-period, mid-period and last-period cloud computing platform virtual machine migration, the conclusions in line with the cloud energy measurement needs, it builds the theoretical foundation for cloud computing platform energy consumption optimize.","Jun L,Jie Z,DingHong P",,2020,2020,https://doi.org/10.1145/3387168.3387192;http://dx.doi.org/10.1145/3387168.3387192,cloud computing virtual machine migration energy measuring research,1
4,ESAVE: Estimating Server and Virtual Machine Energy,"9,78145E+12",,10.1145/3551349.3561170,https://doi.org/10.1145/3551349.3561170;http://dx.doi.org/10.1145/3551349.3561170,Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,"Sustainable software engineering has received a lot of attention in recent times, as we witness an ever-growing slice of energy use, for example, at data centers, as software systems utilize the underlying infrastructure. Characterizing servers for their energy use accurately without being intrusive, is therefore important to make sustainable software deployment choices. In this paper, we introduce ESAVE which is a machine learning-based approach that leverages a small set of hardware attributes to characterize a server or virtual machines energy usage across different levels of utilization. This is based upon an extensive exploration of multiple ML approaches, with a focus on a minimal set of required attributes, while showcasing good accuracy. Early validations show that ESAVE has only around 12% average prediction error, despite being non-intrusive.","Pathania P,Mehra R,Sharma VS,Kaulgud V,Podder S,Burden AP",,2023,2023,https://doi.org/10.1145/3551349.3561170;http://dx.doi.org/10.1145/3551349.3561170,esave estimating server and virtual machine energy,1
6,Program Analysis and Machine Learning Based Approach to Predict Power Consumption of CUDA Kernel,,2376-3639,10.1145/3603533,https://doi.org/10.1145/3603533;http://dx.doi.org/10.1145/3603533,,"General Purpose Graphics Processing Unit (GPGPU) has secured a prominent position in the High-Performance Computing (HPC) world due to its performance gain and programmability. Understanding the relationship between GPU power consumption and program features can aid developers in building energy-efficient sustainable applications. In this work, we propose a static analysis based power model built using machine learning techniques. We have investigated six machine learning models across three NVIDIA GPU architectures: Kepler, Maxwell, and Volta with Random Forest, Extra Trees, Gradient Boosting, CatBoost, and XGBoost, reporting favorable results. We observed that the XGBoost technique based prediction model is the most efficient technique with an R-square value of 0.9646 on Volta Architecture. The dataset used for these techniques includes kernels from different benchmarks suits, sizes, nature (e.g., compute-bound, memory-bound), and complexity (e.g., control divergence, memory access patterns). Experimental results suggest that the proposed solution can help developers precisely predict GPU applications power consumption using program analysis across GPU architectures. Developers can use this approach to refactor their code to build energy-efficient GPU applications.","Alavani G,Desai J,Saha S,Sarkar S",ACM Trans. Model. Perform. Eval. Comput. Syst.,2023,2023-06,https://doi.org/10.1145/3603533;http://dx.doi.org/10.1145/3603533,program analysis and machine learning based approach to predict power consumption of cuda kernel,1
7,Process-Level Power Estimation in VM-Based Systems,"9,78145E+12",,10.1145/2741948.2741971,https://doi.org/10.1145/2741948.2741971;http://dx.doi.org/10.1145/2741948.2741971,Proceedings of the Tenth European Conference on Computer Systems,"Power estimation of software processes provides critical indicators to drive scheduling or power capping heuristics. State-of-the-art solutions can perform coarse-grained power estimation in virtualized environments, typically treating virtual machines (VMs) as a black box. Yet, VM-based systems are nowadays commonly used to host multiple applications for cost savings and better use of energy by sharing common resources and assets.In this paper, we propose a fine-grained monitoring middleware providing real-time and accurate power estimation of software processes running at any level of virtualization in a system. In particular, our solution automatically learns an application-agnostic power model, which can be used to estimate the power consumption of applications.Our middleware implementation, named BitWatts, builds on a distributed actor implementation to collect process usage and infer fine-grained power consumption without imposing any hardware investment (e.g., power meters). BitWatts instances use high-throughput communication channels to spread the power consumption across the VM levels and between machines. Our experiments, based on CPU- and memory-intensive benchmarks running on different hardware setups, demonstrate that BitWatts scales both in number of monitored processes and virtualization levels. This non-invasive monitoring solution therefore paves the way for scalable energy accounting that takes into account the dynamic nature of virtualized environments.","Colmant M,Kurpicz M,Felber P,Huertas L,Rouvoy R,Sobe A",,2015,2015,https://doi.org/10.1145/2741948.2741971;http://dx.doi.org/10.1145/2741948.2741971,process level power estimation in vm based systems,1
8,A Cost Model for IaaS Clouds Based on Virtual Machine Energy Consumption,"9,78858E+12",,,,Proceedings of the XII Brazilian Symposium on Information Systems on Brazilian Symposium on Information Systems: Information Systems in the Cloud Computing Era - Volume 1,"Reduction in data center energy consumption is a constant motivation for IaaS providers. Among all components, CPU appears as a main energy consumer. Although there is a strong relationship between CPU load and its energy consumption, pricing models of popular IaaS providers do not consider this information as a primary and variable element. This paper quantifies the relationship by identifying the individual consumption of virtual CPUs, which form the basis for an allocation cost model. The proposed model, termed Virtual Power, is faced with Amazon EC2 pricing model pointing a cost reduction for IaaS provider and a proportional sharing between users.","Hinz M,Miers CC,Pillon MA,Koslovski GP",,2016,2016,,a cost model for iaas clouds based on virtual machine energy consumption,1
10,Worst-Case Power Integrity Prediction Using Convolutional Neural Network,,1084-4309,10.1145/3564932,https://doi.org/10.1145/3564932;http://dx.doi.org/10.1145/3564932,,"Power integrity analysis is an essential step in power distribution network (PDN) sign-off to ensure the performance and reliability of chips. However, with the growing PDN size and increasing scenarios to be validated, it becomes very time- and resource-consuming to conduct full-stack PDN simulation to check the power integrity for different test vectors. Recently, various works have proposed machine learningbased methods for PDN power integrity prediction, many of which still suffer from large training overhead, inefficiency, or non-scalability. Thus, this article proposed an efficient and scalable framework for the worst-case power integrity prediction, which can handle general tasks including dynamic noise prediction and bump current prediction. The framework first reduces the spatial and temporal redundancy in the PDN and input current vector and then employs efficient feature extraction as well as a novel convolutional neural network architecture to predict the worst-case power integrity. Experimental results show that the proposed framework consistently outperforms the commercial tool and the state-of-the-art machine learning method with only 0.631.02% mean relative error and 2569× speedup for noise prediction and 0.221.06% mean relative error and 2464× speedup for bump current prediction.","Dong X,Chen Y,Chen J,Wang Y,Li J,Ni T,Shi Z,Yin X,Zhuo C",ACM Trans. Des. Autom. Electron. Syst.,2023,2023-05,https://doi.org/10.1145/3564932;http://dx.doi.org/10.1145/3564932,worst case power integrity prediction using convolutional neural network,1
11,Towards the Systematic Reporting of the Energy and Carbon Footprints of Machine Learning,,1532-4435,,,,"Accurate reporting of energy and carbon usage is essential for understanding the potential climate impacts of machine learning research. We introduce a framework that makes this easier by providing a simple interface for tracking realtime energy consumption and carbon emissions, as well as generating standardized online appendices. Utilizing this framework, we create a leaderboard for energy efficient reinforcement learning algorithms to incentivize responsible research in this area as an example for other areas of machine learning. Finally, based on case studies using our framework, we propose strategies for mitigation of carbon emissions and reduction of energy consumption. By making accounting easier, we hope to further the sustainable development of machine learning experiments and spur more research into energy efficient algorithms.","Henderson P,Hu J,Romoff J,Brunskill E,Jurafsky D,Pineau J",J. Mach. Learn. Res.,2020,2020-01,,towards the systematic reporting of the energy and carbon footprints of machine learning,1
15,Efficient Power Adaptation against Deep Learning Based Predictive Adversaries,"9,78145E+12",,10.1145/3324921.3328787,https://doi.org/10.1145/3324921.3328787;http://dx.doi.org/10.1145/3324921.3328787,Proceedings of the ACM Workshop on Wireless Security and Machine Learning,"Wireless communication networks are subject to various types of adversarial attacks, which might be passive in the form of eavesdropping, or active in the form of jamming. For the former category, even if the traffic is encrypted, an adversary performing analysis on observed traffic signatures may lead to leakage of the so called contextual information regarding the traffic. New advances in the field of machine learning also result in significantly more complex adversarial units, which may deduce different forms and uses of such contextual information. In this work, we are interested in power adaptation against an intelligent adversary which utilizes deep learning and attempts to perform predictions and time forecasting on the observed traffic traces to estimate the imminent traffic intensities. Based on its traffic predictions, the adversary might possibly activate its jamming mode and utilize its limited power more efficiently to inflict maximal damage. As a method of mitigation, the transmitter may want to increase transmitter power if it expects a higher probability of jamming, and it has a significant amount of upcoming data to transmit. We leverage Lyapunov optimization and virtual queues to meet a certain level of data transmission reliability while also minimizing power consumption.","Ciftcioglu E,Ricos M",,2019,2019,https://doi.org/10.1145/3324921.3328787;http://dx.doi.org/10.1145/3324921.3328787,efficient power adaptation against deep learning based predictive adversaries,1
