,original_title,ISBNs,DOI,Publication Title,PDF Link,Abstract,Authors,Author Keywords,Publication Year,title,keep_title
0,Predicting Energy Consumption Using LSTM and CNN Deep Learning Algorithm,979-8-3503-3321-3,10.1109/EFEA56675.2022.10063818,2022 7th International Conference on Environment Friendly Energies and Applications (EFEA),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10063818,"Innovations in technologies that rely on electricity have led to an uncontrollable rise in power usage. In order to predict future electricity demand and enhance the power distribution system, analysis and forecasting of energy consumption systems are necessary. Several issues with the present energy consumption prediction methods make it difficult to anticipate actual energy usage with any degree of accuracy. In order to master the energy prediction method, this study examines fourteen years' worth of hourly energy usage data from a Kaggle open source dataset. In addition, a Long Short Term Memory (LSTM) and Convolution Neural Network (CNN) based method for estimating energy consumption based on actual datasets is presented in the research. The empirical findings demonstrate which LSTM and CNN architectures can improve energy consumption forecasting accuracy.",A. V. Abraham; P. Sasidharan; S. J. S. Tejas; M. Manohara; R. Muthu; R. C. Naidu,Power consumption;LSTM;CNN;prediction,2022,predicting energy consumption using lstm and cnn deep learning algorithm,1
1,Multi-level Power Consumption and Computation Models and Energy-Efficient Server Selection Algorithms in a Scalable Cluster,978-1-5090-0979-4,10.1109/NBiS.2016.88,2016 19th International Conference on Network-Based Information Systems (NBiS),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7789760,"It is critical to reduce the electric energy consumed in information systems, especially server clusters. In ourprevious studies, the MLPCM (multi-level power consumption with multiple CPUs) and MLCM (multi-level computation with multiple CPUs) models are proposed with server selection algorithms. In the server selection algorithms, a server is selected to perform a process issued by a client by estimating the electric energy consumption by simulating the execution of every current process. However, it takes time to collect the state of processes performed on each server and estimate the termination time of the processes. In this paper, we propose a simple energy-efficient (PEA) algorithm to select server where only state information on number of processes on each serveris used. We evaluate the PEA algorithm and show not only the total electric energy consumption of the servers but also the average execution time of processes are reduced in the PEA algorithm compared with other algorithms.",H. Kataoka; A. Sawada; D. Duolikun; T. Enokido; M. Takizawa,MLPCM model;MLCM model;Energy-aware server selection algorithm;PEA alogrithm,2016,multi level power consumption and computation models and energy efficient server selection algorithms in a scalable cluster,1
2,A DNN based LSTM Model for Predicting Future Energy Consumption,978-1-6654-9710-7,10.1109/ICAAIC53929.2022.9793147,2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793147,"Due to the progressions of power subordinate hardware, the unnecessary development of energy utilization has expanded dramatically. In this manner, monitoring and prediction of the energy utilization framework will offer the future interest for energy utilization and further develop the power circulation framework. By the virtue of a few difficulties of existing energy utilization, prediction models are restricting to anticipate the genuine energy utilization appropriately. Along these lines, to overcome the energy prediction technique, this paper dissects fourteen years of energy utilization information gathered on an hourly premise, from an open-source dataset from Kaggle. Also, the paper suggests a Long Short-Term Memory (LSTM) based way to deal with predicted energy utilization in light of the genuine dataset. The experimental outcomes show that the proposed LSTM engineering can effectively improve the prediction exactness of energy utilization.",B. E; H. R. M; K. P. N; S. P. S B; J. S,LSTM;DNN;power consumption;Time Series,2022,a dnn based lstm model for predicting future energy consumption,1
3,Integration of Artificial Neural Networks and Genetic Algorithm to Predict Electrical Energy Consumption in Energy Intensive Sector,1-4244-0323-5,10.1109/ICELIE.2006.347212,2006 1ST IEEE International Conference on E-Learning in Industrial Electronics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4152768,"This study presents an integrated genetic algorithm (GA) and artificial neural network (ANN) to estimate and predict electricity demand using stochastic procedures. The considered sector is the energy intensive sector and the economic indicators used in this paper are price, value added, number of customers, price of the substitute fuel and electricity intensity. The chosen models are linear-logarithmic, exponential and quadratic ones. This model can be used to estimate energy demand in the future by optimizing parameter values. The GA applied in this study has been tuned for all its parameters and the best coefficients with minimum error are identified, while all parameter values are tested concurrently. The estimation errors of genetic algorithm models are less than that of estimated by regression method. Neural network is used to forecast each independent variable and then electricity consumption is forecasted up to year 2008 in this sector. It is pointed that neural networks dominate time series approach form the point of yielding less Mean Absolute Percentage Error (MAPE) error. In addition, another unique feature of this study is utilization of ANN instead of time series to obtain better predictions for energy consumption. Electricity consumption in Iranian energy intensive sector from 1981 to 2005 is considered as the case of this study",A. Azadeh; R. T. Moghadam; S. F. Ghaderi; S. Tarverdian; M. Saberi,,2006,integration of artificial neural networks and genetic algorithm to predict electrical energy consumption in energy intensive sector,1
6,Power Consumption and Computation Models of a Server with a Multi-core CPU and Experiments,978-1-4799-1775-4,10.1109/WAINA.2015.127,2015 IEEE 29th International Conference on Advanced Information Networking and Applications Workshops,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7096176,"The power consumption of servers has to be reduced in a cluster to realize eco society. In this paper, we discuss power consumption models of servers. We take a macro level approach to reducing the total power consumption of servers to perform application processes. A server is equipped with a multi-core CPU. Through measuring electric power consumed by types of servers to perform application processes, we newly propose a multi-level power consumption (MLPC) model of a server with a multi-core CPU. Here, the power consumption of a server depends on the number of active cores and active threads where at least one application process is performed. We also discuss a computation model which gives the expected execution time of a process on a server. Based on the MLPC model and the computation model, we discuss an energy-aware (EA) selection algorithm to select a server for each process requested by a client in a cluster so that the total electric energy consumption can be reduced. We evaluate the EA algorithm and show the total energy consumption is reduced in the EA algorithm compared with round-robin and random algorithms.",H. Kataoka; D. Duolikun; T. Enokido; M. Takizawa,Multi-level power consumption (MLPC) model;Computation model;Energy-aware (EA) selection algorithm,2015,power consumption and computation models of a server with a multi core cpu and experiments,1
7,Power Consumption and Computation Models of a Storage Server,978-1-4673-8315-8,10.1109/BWCCA.2015.79,"2015 10th International Conference on Broadband and Wireless Computing, Communication and Applications (BWCCA)",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7424870,"It is now critical to reduce electric energy consumed in a cluster of servers, especially scalable systems including a huge number of servers like cluster computing systems. Types of application processes like computation, storage, and communication processes are performed on servers in clusters. In clusters, most applications use not only CPU resources but also storage drives like database and web applications. In this paper, we consider storage processes which read and write files in storage devices. The SPCS model (simple power consumption model for a storage server) shows how much electric power a server consumes to perform storage and computation processes. In our macro-level approach, we first measure the electric power consumed by a whole server to perform storage and computation processes and the computation time of each process. Then, we define the SPCS model of a server to perform storage and computation processes by abstracting parameters like number of processes which dominate the electric power consumption. We also define a simple computation model for a storage server (SPCS model) to perform storage and computation processes.",A. Sawada; H. Kataoka; D. Duolikun; T. Enokido; M. Takizawa,Eco distributed systems;Storage process;Computation process;Simple power consumption model for a storage server;SCPC model;SCS model,2015,power consumption and computation models of a storage server,1
10,Integration of Artificial Neural Networks and Genetic Algorithm to Predict Electrical Energy consumption,978-1-5090-9155-3,10.1109/IECON.2006.348098,IECON 2006 - 32nd Annual Conference on IEEE Industrial Electronics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4153657,"This study presents an integrated genetic algorithm (GA) and artificial neural network (ANN) to estimate and predict electricity demand using stochastic procedures. The economic indicators used in this paper are price, value added, number of customers and consumption in the previous periods. This model can be used to estimate energy demand in the future by optimizing parameter values. The GA applied in this study has been tuned for all its parameters and the best coefficients with minimum error are identified, while all parameter values are tested concurrently. The estimation errors of genetic algorithm model are less than that of estimated by regression method. Neural network is used to forecast each independent variable and then electricity consumption is forecasted up to year 2008. It is shown that neural networks dominate time series approach form the point of yielding less mean absolute percentage error (MAPE) error. In addition, another unique feature of this study is utilization of ANN instead of time series to obtain better predictions for energy consumption. Electricity consumption in Iranian agriculture sector from 1981 to 2005 is considered as the case of this study",A. Azadeh; S. F. Ghaderi; S. Tarverdian; M. Saberi,,2006,integration of artificial neural networks and genetic algorithm to predict electrical energy consumption,1
12,Non-Intrusive Load Monitoring for High Power Consuming Appliances using Neural Networks,978-1-6654-4966-3,10.1109/ICECIE52348.2021.9664681,"2021 3rd International Conference on Electrical, Control and Instrumentation Engineering (ICECIE)",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9664681,"The topic of Energy Conservation requires urgent attention worldwide to avoid the impending energy crisis and reduce the impact on the environment through emissions. A crucial step in energy conservation is to motivate individual consumers to reduce their consumption. Itemized energy consumption feedback on each appliance helps users to plan their consumption patterns in an optimum way. Non-intrusive load monitoring is a low-cost and low-maintenance method for identifying consumptions of individual devices from the aggregate data of the mains supply. However, high power-consuming devices with power patterns with varying states are generally difficult to identify, despite them making a huge impact on the overall consumption of a household. Research shows that machine learning techniques are a promising approach for this disaggregation process. This paper focuses on developing data preprocessing methods and neural network algorithms to accurately disaggregate four common household appliances including ones with multistate power patterns.",W. A. T. Wickramarachchi; P. H. Panawenna; J. Majuran; V. Logeeshan; S. Kumarawadu,non-intrusive load monitoring;multi-state devices;convolutional neural networks,2021,non intrusive load monitoring for high power consuming appliances using neural networks,1
15,Predicting Power Consumption Anomaly Using Statistical and Supervised Machine Learning Techniques,978-1-6654-3185-9,10.1109/ITOEC53115.2022.9734517,2022 IEEE 6th Information Technology and Mechatronics Engineering Conference (ITOEC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9734517,"Power has become an essential element of daily life in the modern world. At the same time, over usage of electricity may lead to excessive power consumption, causing the device to short circuit or be on fire. Therefore, it is crucial to monitor and forecast the anomalies in power consumption to avoid any tragedy. In this paper, the authors proposed a method of predicting anomalies in power consumption. The proposed method uses a statistical approach in labeling; the labeled power consumption data are then used to form the data instances. Later, supervised machine learning classification techniques, namely Support Vector Machine, Decision Tree, and Random Forest, are implemented on the data instances to predict the power consumption anomalies. The experimental results demonstrate that the precision, recall, and F1 score are achieving better results when the training dataset is larger. Besides that, the results show that the techniques used to handle the imbalanced data will affect the performance of models.",Y. -F. Tan; W. -N. Tan; R. El-Hadad; A. Buhari,power consumption anomaly;predicting;statistical method;supervised machine learning;F1 score,2022,predicting power consumption anomaly using statistical and supervised machine learning techniques,1
19,Measuring and visualizing energy consumption within software code,978-1-4799-4035-6,10.1109/VLHCC.2014.6883045,2014 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6883045,"The authors have begun to witness an exponential growth in the information and communication technologies (ICT) sector. While undoubtedly a milestone, all of this occurs at the expense of high energy costs needed to supply servers, data centers, and any use of computers. Associated with these high energy costs is the emission of greenhouse gases. These two issues have become major problems in society. The ICT sector contributes up to 8% of the overall energy consumption, with 50% of the energy costs of an organization being attributed to the IT departments.The paper discusses a tool which applies the proposed techniques on software code. This tool would guide the developer into programming more energy-aware software by alerting him/her of red smells, and offering green refactorings, all this in a simple visual layout to allow the software developer to become energy-aware. This application will also provide the ability to navigate between less energy efficient areas (packages, classes, modules, functions, methods, blocks and even lines), making its implementation more energy efficient.",T. Carção,,2014,measuring and visualizing energy consumption within software code,1
