,original_title,result_id,publication_info_summary,link,title,keep_title,count
0,Estimation of energy consumption in machine learning,dlyzfK7ViPAJ,"E García-Martín, CF Rodrigues, G Riley… - Journal of Parallel and …, 2019 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0743731518308773,estimation of energy consumption in machine learning,1,1
1,GPGPU performance and power estimation using machine learning,DEGg9obr65gJ,"G Wu, JL Greathouse, A Lyashevsky… - 2015 IEEE 21st …, 2015 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/7056063/,gpgpu performance and power estimation using machine learning,1,1
2,Mlee: Method level energy estimation—a machine learning approach,-hIwshqktNQJ,"HM Alvi, H Majeed, H Mujtaba, MO Beg - … Computing: Informatics and …, 2021 - Elsevier",https://www.sciencedirect.com/science/article/pii/S2210537921000822,mlee method level energy estimation a machine learning approach,1,1
3,How to measure energy consumption in machine learning algorithms,_pKvioRDYogJ,"E García-Martín, N Lavesson, H Grahn… - ECML PKDD 2018 …, 2019 - Springer",https://link.springer.com/chapter/10.1007/978-3-030-13453-2_20,how to measure energy consumption in machine learning algorithms,1,1
5,Machine Learning Based Power Estimation for CMOS VLSI Circuits,GMYXGspDr5gJ,"V Govindaraj, B Arunadevi - Applied Artificial Intelligence, 2021 - Taylor & Francis",https://www.tandfonline.com/doi/abs/10.1080/08839514.2021.1966885,machine learning based power estimation for cmos vlsi circuits,1,1
9,Improving BLE distance estimation and classification using TX power and machine learning: A comparative analysis,W2UZ296mVXEJ,"M Al Qathrady, A Helmy - Proceedings of the 20th ACM International …, 2017 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3127540.3127577,improving ble distance estimation and classification using tx power and machine learning a comparative analysis,1,1
10,A novel approach to memory power estimation using machine learning,7yNpqnV33hcJ,"M Stockman, M Awad, R Khanna, C Le… - … on Energy Aware …, 2010 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/5702284/,a novel approach to memory power estimation using machine learning,1,1
16,NeuPow: a CAD methodology for high-level power estimation based on machine learning,Q01M-RJkz8cJ,"Y Nasser, C Sau, JC Prévotet, T Fanni… - ACM Transactions on …, 2020 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3388141,neupow a cad methodology for high level power estimation based on machine learning,1,1
19,Energy detector based TOA estimation for MMW systems using machine learning,QURgvfAt8xEJ,"X Liang, H Zhang, T Lu, TA Gulliver - Telecommunication Systems, 2017 - Springer",https://link.springer.com/article/10.1007/s11235-016-0182-2,energy detector based toa estimation for mmw systems using machine learning,1,1
22,Estimation performance comparison of machine learning approaches and time series econometric models: evidence from the effect of sector-based energy …,4ooM5aF3eTEJ,"T Ulussever, S Kılıç Depren, MT Kartal… - … Science and Pollution …, 2023 - Springer",https://link.springer.com/article/10.1007/s11356-023-26050-0,estimation performance comparison of machine learning approaches and time series econometric models evidence from the effect of sector based energy,1,1
27,Convolutional recurrent machine learning for OSNR and launch power estimation: a critical assessment,XxAZ40sQST8J,"HJ Cho, S Varughese, D Lippiatt… - 2020 Optical Fiber …, 2020 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9083343/,convolutional recurrent machine learning for osnr and launch power estimation a critical assessment,1,1
33,Power profile estimation of optical transmission links based on machine learning,EMUpBquXv60J,"LS Schanner, JHDC Júnior, T Sutili… - IEEE Photonics …, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9512078/,power profile estimation of optical transmission links based on machine learning,1,1
38,Development of Machine Learning Algorithm for Characterization and Estimation of Energy Consumption of Various Stages during 3D Printing,KzWwLzjepx4J,"R Kumar, R Ghosh, R Malik, KS Sangwan, C Herrmann - Procedia CIRP, 2022 - Elsevier",https://www.sciencedirect.com/science/article/pii/S221282712200227X,development of machine learning algorithm for characterization and estimation of energy consumption of various stages during d printing,1,1
45,Pre Synthesis and Post Synthesis Power Estimation of VLSI Circuits Using Machine Learning Approach,4FOjwgkdEHkJ,"E Poovannan, S Karthik - Applied Artificial Intelligence, 2022 - Taylor & Francis",https://www.tandfonline.com/doi/abs/10.1080/08839514.2022.2145640,pre synthesis and post synthesis power estimation of vlsi circuits using machine learning approach,1,1
49,A predictive model for power consumption estimation using machine learning,x8Y2kS0HuNkJ,"M Aboubakar, I Quenel, AAA Ari - … , Computer and Energy …, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9698681/,a predictive model for power consumption estimation using machine learning,1,1
50,Energy efficient routing using machine learning based link quality estimation for WMSNs,xS2Wfby2pFIJ,"G Kirubasri - Turkish Journal of Computer and Mathematics …, 2021 - turcomat.org",https://www.turcomat.org/index.php/turkbilmat/article/view/6460,energy efficient routing using machine learning based link quality estimation for wmsns,1,1
51,A Machine Learning Approach to the Estimation of Near-Optimal Electrostatic Force in Micro Energy-Harvesters,AkhR0j0exvUJ,"M Roudneshin, K Sayrafian… - 2019 IEEE International …, 2019 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/8920332/,a machine learning approach to the estimation of near optimal electrostatic force in micro energy harvesters,1,1
55,Robust total energy demand estimation with a hybrid Variable Neighborhood Search–Extreme Learning Machine algorithm,wadlJ8IuBWwJ,"J Sánchez-Oro, A Duarte, S Salcedo-Sanz - Energy Conversion and …, 2016 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0196890416305398,robust total energy demand estimation with a hybrid variable neighborhood search extreme learning machine algorithm,1,1
62,High-Level Early Power Estimation of FPGA IP Based on Machine Learning,MwXeVvru3yoJ,"M Richa, JC Prévotet, M Dardaillon… - 2022 29th IEEE …, 2022 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9970952/,high level early power estimation of fpga ip based on machine learning,1,1
63,Machine-Learning Based Energy Estimation on a High-Speed Transportation System,oRb_gXozunAJ,"P Boscariol, D Richiedei, I Tamellin… - Proceedings of I4SDG …, 2023 - Springer",https://link.springer.com/chapter/10.1007/978-3-031-32439-0_33,machine learning based energy estimation on a high speed transportation system,1,1
65,Estimate Power without Measuring it: a Machine Learning Application,CjbEzrrMQ-UJ,"G Lemaitre, C Lemaitre - Journal of Science and Cycling, 2018 - jsc-journal.com",https://jsc-journal.com/index.php/JSC/article/view/420,estimate power without measuring it a machine learning application,1,1
66,Estimation of Remaining Useful Lifetime of Power Electronic Components with Machine Learning based on Mission Profile Data,tOnoLuJ-VtkJ,"D Bhat, S Muench, M Roellig - Power Electronic Devices and Components, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S2772370423000081,estimation of remaining useful lifetime of power electronic components with machine learning based on mission profile data,1,1
68,Using machine learning to estimate pedestrian and bicyclist count of intersection by Bluetooth low energy,c3jTR57kPmwJ,"Y Gong, M Abdel-Aty - Journal of transportation engineering, Part A …, 2022 - ascelibrary.org",https://ascelibrary.org/doi/abs/10.1061/JTEPBS.0000619,using machine learning to estimate pedestrian and bicyclist count of intersection by bluetooth low energy,1,1
69,"Machine Learning based Interconnect Parasitic R, C, and Power Estimation Analysis for Adder Family Circuits",Z_VoZ5_f1rQJ,"M Parvathi - 2022 Sixth International Conference on I-SMAC …, 2022 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9987344/,machine learning based interconnect parasitic r c and power estimation analysis for adder family circuits,1,1
76,"Channel Capacity Estimation of 4× 4 MIMO Antenna by Machine Learning, Considering SNR, Power Imbalance, and Correlation Coefficient",ePLd0k5t3msJ,"D Masuda, K Honda - 2020 International Symposium on …, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9391213/,channel capacity estimation of mimo antenna by machine learning considering snr power imbalance and correlation coefficient,1,1
79,MLStar: machine learning in energy profile estimation of android apps,6cXS2PqGZDUJ,"B Gaska, C Gniady, M Surdeanu - Proceedings of the 15th EAI …, 2018 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3286978.3287011,mlstar machine learning in energy profile estimation of android apps,1,1
84,ASIC Power Estimation Across Revisions using Machine Learning,fyVxKXT7C_AJ,"A Tariq, H Yang - 2020 IEEE 33rd International System-on-Chip …, 2020 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9524795/,asic power estimation across revisions using machine learning,1,1
85,A Comparative Analysis of Artificial Intelligence and Machine learning Approach to Estimate Currents in Electrical Power Transmission Lines,WaFFdMz4q7EJ,"H Javed, MS Pansota, HA Khan… - University of Wah Journal …, 2022 - uwjst.org.pk",https://uwjst.org.pk/index.php/uwjst/article/view/71,a comparative analysis of artificial intelligence and machine learning approach to estimate currents in electrical power transmission lines,1,1
86,Machine Learning Based Efficiency and Power Estimation of Circular Buffer,5bPqIEG8tY4J,"PK Yethirajula, TN Sasamal, D Parihar - Green Technology for Smart City …, 2021 - Springer",https://link.springer.com/chapter/10.1007/978-981-15-8218-9_36,machine learning based efficiency and power estimation of circular buffer,1,1
88,Efficient improvement for the estimation of the surface of free energy asphalt binder using Machine Learning toolss,AbNwzgMd3QYJ,"D Sierra-Porta - Revista UIS ingenierías, 2021 - revistas.uis.edu.co",https://revistas.uis.edu.co/index.php/revistauisingenierias/article/view/11488,efficient improvement for the estimation of the surface of free energy asphalt binder using machine learning toolss,1,1
92,Machine learning methods for CDMA power control and direction of arrival estimation,FiNBlrH191MJ,JA Rohwer - 2003 - search.proquest.com,https://search.proquest.com/openview/1dffbb95e0e79e13e69ab9ae96c39708/1?pq-origsite=gscholar&cbl=18750&diss=y,machine learning methods for cdma power control and direction of arrival estimation,1,1
95,Performance and power estimation using datamining through machine learning techniques,NvQxDKWaE1kJ,G Vijayakumar - 2020 - dspace.iiti.ac.in,http://dspace.iiti.ac.in:8080/xmlui/handle/123456789/2626,performance and power estimation using datamining through machine learning techniques,1,1
96,465: Comparison of Machine Learning and Conventional Equations for Energy Estimation In The PICU,z5Jijq7KNMUJ,"G Hall, L Sanchez-Pinto, A Floh, D Abrams… - Critical Care …, 2020 - journals.lww.com",https://journals.lww.com/ccmjournal/Fulltext/2020/01001/465__COMPARISON_OF_MACHINE_LEARNING_AND.429.aspx,comparison of machine learning and conventional equations for energy estimation in the picu,1,1
97,Explorations in Application of Machine Learning in Pre-Synthesis Power Estimation of Digital Systems,0MaVNIcsEj0J,"K Hoser, A Raak, N Mansouri - Journal of Student Research, 2022 - jsr.org",https://jsr.org/index.php/path/article/view/1627,explorations in application of machine learning in pre synthesis power estimation of digital systems,1,1
103,Power consumption estimation in data centers using machine learning techniques,O6YO2ruiGl8J,"E Karantoumanis, N Ploskas - … Conference, LION 14, Athens, Greece, May …, 2020 - Springer",https://link.springer.com/chapter/10.1007/978-3-030-53552-0_20,power consumption estimation in data centers using machine learning techniques,1,1
104,ESTIMATION OF POWER CONSUMPTION USING MACHINE LEARNING,CdDd5YWu00kJ,M Divyadharshini - search.ebscohost.com,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=13085581&AN=162694953&h=9XwTC8Uzrx%2BEen1h1qGsu%2Bub8wm8CYkK%2BbE6h6gCMlLBKlstzYqFdJOKapHB2GWOXJ%2FElCbL2%2FWyebU6yoEPbw%3D%3D&crl=c,estimation of power consumption using machine learning,1,1
106,Optimizing Free Energy Estimation with Machine Learning,uym3TkIP3dsJ,"P Wirnsberger, A Ballard… - APS March Meeting …, 2021 - ui.adsabs.harvard.edu",https://ui.adsabs.harvard.edu/abs/2021APS..MARP22005W/abstract,optimizing free energy estimation with machine learning,1,1
107,Estimation of Electronic Band Gap Energy Using Machine Learning,PGzQm4ND1XAJ,"SP Barad, S Kumar - niser.ac.in",https://www.niser.ac.in/~smishra/teach/cs460/23cs460/projects/group1/report_group1.pdf,estimation of electronic band gap energy using machine learning,1,1
