,original_title,ISBN,ISSN,DOI,URLs,Proceedings title,Abstract,Authors,Journal,Publication year,Date published,URLs,title,keep_title
2,A High-Frequency Monitoring Method for Urban Carbon Emissions Based on Vertical Federated Deep Learning and Multi-Source Heterogeneous Data Fusion Methods,"9,78145E+12",,10.1145/3582935.3582972,https://doi.org/10.1145/3582935.3582972;http://dx.doi.org/10.1145/3582935.3582972,Proceedings of the 5th International Conference on Information Technologies and Electrical Engineering,"Carbon emissions are the main culprit of global warming. Accurate carbon emission forecasting helps government departments formulate effective carbon emission reduction policies and helps the carbon emission market develop orderly. Implementing an accurate and effective carbon emission monitoring model requires the collaboration of many parties because carbon emission-related data involves many sectors and industries. However, for the relevant characteristics of carbon emission monitoring, due to the different collection and storage standards of various departments, poor maintenance environment, lack of data, data loss, and abnormal severe, resulting in high frequency and high precision carbon emission monitoring. As privacy protection and data security issues are gradually taken seriously by government departments and related enterprises, the inability or unwillingness to share carbon emission-related data among enterprises or even among various departments within enterprises has created an increasingly severe data silo phenomenon. In addition, how effectively breaking the data barriers between various sectors is an urgent problem in grasping carbon emission change changes accurately. Therefore, this paper proposes a carbon emission monitoring model for key urban sectors based on vertical federated deep learning and multi-source heterogeneous data fusion and sharing. The experimental results show that the model accurately predicts carbon emission change trends in various application scenarios under the data availability and invisibility of each participant.","Gao Y,Yan D,Liu N,Luo S,Zhou Z,Wang Y,Chen Y,Gao B",,2023,2023,https://doi.org/10.1145/3582935.3582972;http://dx.doi.org/10.1145/3582935.3582972,a high frequency monitoring method for urban carbon emissions based on vertical federated deep learning and multi source heterogeneous data fusion methods,0
5,Energy Expenditure Estimation Based on Artificial Intelligence and Microservice Architecture,"9,78145E+12",,10.1145/3380688.3380715,https://doi.org/10.1145/3380688.3380715;http://dx.doi.org/10.1145/3380688.3380715,Proceedings of the 4th International Conference on Machine Learning and Soft Computing,"Nutritional status plays an important role in not only pregnancy outcomes but also neonatal health. One of efficient techniques to control the nutritional status is to estimate the energy expenditure. There are some approaches for estimating energy expenditure. However, they have limitations including high cost, relative complexity, trained personnel requirements, or locality. This study investigates in a system for data collection and analysis (IoH-Internet of Health) developing based on microservice architecture, and its application for energy expenditure estimation. The proposed system has a good ability to scale and integrate with other systems; the energy expenditure estimation is performed by using artificial intelligence. The experimental results have shown the promising results of the proposed system.","Huynh HT,Quan HD",,2020,2020,https://doi.org/10.1145/3380688.3380715;http://dx.doi.org/10.1145/3380688.3380715,energy expenditure estimation based on artificial intelligence and microservice architecture,0
9,Chaos Prediction of Power Systems by Using Deep Learning,"9,78145E+12",,10.1145/3529836.3529843,https://doi.org/10.1145/3529836.3529843;http://dx.doi.org/10.1145/3529836.3529843,2022 14th International Conference on Machine Learning and Computing (ICMLC),"Ensuring the stability of power systems is an important issue that should be considered in order to ensure the social and economic development of a country. Therefore, predicting the chaotic behavior of power systems in order to develop protection measures and keep power systems stable is vital. In this paper, a deep learning algorithm was proposed to predict the chaotic behavior of power systems by using deep long short-term memory (DLSTM) networks, which have two forms: deep long short-term memory with static scenario (DLSTM-s) and deep long-term memory with dynamic scenario (DLSTM-d). The genetic algorithm was used to optimize the hyperparameters of the networks. Then, taking interconnected power systems as an example, the effectiveness of the proposed DLSTM network was verified via numerical simulation. Finally, the experimental results of the DLSTM network were compared with those of the echo state network, multi-recurrent neural network, deep gated recurrent unit, and long short-term memory. Experimental results illustrated that a trained DLSTM network can predict the chaotic behavior of power systems by using the time series data of a single state variable. Moreover, the DLSTM-s network proposed in this paper can achieve competitive prediction performance compared with other baseline methods.","Lu Y,Wei D",,2022,2022,https://doi.org/10.1145/3529836.3529843;http://dx.doi.org/10.1145/3529836.3529843,chaos prediction of power systems by using deep learning,0
12,GPU Power Prediction via Ensemble Machine Learning for DVFS Space Exploration,"9,78145E+12",,10.1145/3203217.3203273,https://doi.org/10.1145/3203217.3203273;http://dx.doi.org/10.1145/3203217.3203273,Proceedings of the 15th ACM International Conference on Computing Frontiers,"A software-based approach to achieve high performance within a power budget often involves dynamic voltage and frequency scaling (DVFS). Thus, accurately predicting the power consumption of an application at different DVFS levels (or more generally, different processor configurations) is paramount for the energy-efficient functioning of a high-performance computing (HPC) system. The increasing prevalence of graphics processing units (GPUs) in HPC systems presents new challenges in power management, and machine learning presents an unique way to improve the software-based power management of these systems. As such, we explore the problem of GPU power prediction at different DVFS states via machine learning. Specifically, we propose a new ensemble technique that incorporates three machine-learning techniques --- sequential minimal optimization regression, simple linear regression, and decision tree --- to reduce the mean absolute error (MAE) to 3.5%.","Dutta B,Adhinarayanan V,Feng WC",,2018,2018,https://doi.org/10.1145/3203217.3203273;http://dx.doi.org/10.1145/3203217.3203273,gpu power prediction via ensemble machine learning for dvfs space exploration,0
13,Power System Voltage Instability Monitoring with Artificial Neural Networks,"9,78288E+12",,,,Proceedings of the 7th International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems,,Jeyasurya B,,1994,1994,,power system voltage instability monitoring with artificial neural networks,0
14,An Online Power System Dynamics Prediction Based on Deep Neural Network,"9,78145E+12",,10.1145/3277453.3277464,https://doi.org/10.1145/3277453.3277464;http://dx.doi.org/10.1145/3277453.3277464,Proceedings of the 2018 International Conference on Electronics and Electrical Engineering Technology,"Building Power analysis has drawn more and more attention in recent years. In this paper, we present a system for online power prediction for the public building. It is based on a 4-layers Deep Neural Network that use architectural metrics of the physical machines collected dynamically by our system to predict the physical machine power consumption. A real implementation of our system shows that the prediction accuracy could reach 76.50%.","Zhang B,Han J,Ren Y,Wen H,Song Z,Gan Q,Wei R,Dang X,Zhou B",,2018,2018,https://doi.org/10.1145/3277453.3277464;http://dx.doi.org/10.1145/3277453.3277464,an online power system dynamics prediction based on deep neural network,0
16,Machine Learning-Powered Mobile App for Predicting Used Car Prices,"9,78145E+12",,10.1145/3502300.3502307,https://doi.org/10.1145/3502300.3502307;http://dx.doi.org/10.1145/3502300.3502307,Proceedings of the 2021 3rd International Conference on Big-Data Service and Intelligent Computation,"Buying and selling used cars is a common practice in all countries. When looking to sell a car, the seller decides the price of their car after monitoring the prices of similar cars in the advertisements. When someone is looking to buy a car, they watch advertisements for similar cars to get an idea of the price of the car they want to purchase. Despite the availability of blue books that provide an estimate of automotive pricing, real market prices vary depending on demand and supply. In this paper, we applied cutting-edge machine learning techniques to automate this process. The training data set is up-to-date and it was collected from an active commercial website. We created semi-automated rule-based scripts to clean and prepare the data for machine learning. Several machine learning algorithms were explored to generate an approximate value for the car pricing, including Artificial Neural Network, Support Vector Machine, K-Nearest Neighbors, Random Forest, and Gradient Boosted Decision Tree. To determine the features that most affect the price, extensive data analysis and cleaning were undertaken. Our findings indicate that the testing accuracy is 90%. Finally, a mobile application was created that provides an estimated price of a given car's properties, guiding a user in determining the price of their car. The complete code and the data used to obtain these results can be accessed on GitHub at [1] [19].","Shanti N,Assi A,Shakhshir H,Salman A",,2022,2022,https://doi.org/10.1145/3502300.3502307;http://dx.doi.org/10.1145/3502300.3502307,machine learning powered mobile app for predicting used car prices,0
17,Application of Data Mining Based on Machine Learning in Automobile Power Prediction,"9,78145E+12",,10.1145/3501409.3501532,https://doi.org/10.1145/3501409.3501532;http://dx.doi.org/10.1145/3501409.3501532,Proceedings of the 2021 5th International Conference on Electronic Information Technology and Computer Engineering,"Automobile power prediction is the key to the automobile industry. Only by reasonably predicting the automobile power can we produce cars that meet the needs of consumers. Compared with traditional methods, machine learning model improves the accuracy of classification in power. Machine learning models include BP neural network, random forest and KNN algorithm. In order to select the optimal vehicle power prediction model, this paper compares the advantages and disadvantages of these three machine learning models through design experiments.",Zhang K,,2022,2022,https://doi.org/10.1145/3501409.3501532;http://dx.doi.org/10.1145/3501409.3501532,application of data mining based on machine learning in automobile power prediction,0
22,"Output PV Power Prediction Using an Artificial Neural Network in Casablanca, Morocco","9,78145E+12",,10.1145/3368756.3369084,https://doi.org/10.1145/3368756.3369084;http://dx.doi.org/10.1145/3368756.3369084,Proceedings of the 4th International Conference on Smart City Applications,"Optimal use of renewable energy requires its characterization and prediction to size detectors or estimate the potential of power plants [20-21]. In terms of prediction, electricity suppliers are interested in different horizons to manage power plants and predict their production [1-2]. This paper proposes a model for predicting the output power in photovoltaic (PV) panels installed on the rooftop of the Ben m'sik faculty at Hassan II University, Casablanca, Morocco, and this model is based on a multilayer perceptron (MLP) model. In this work, different combinations of weather variables were used to develop this model and for validate the proposed model results different practical measurement methods are used, such as mean square error (MSE), mean absolute error (MAE), correlation (R) and coefficient of determination (R2). The determination coefficient of the proposed model is 0.98501 with an RMSE value of 30.663. The proposed model was tested on new data, the results showed that the model works with a good preferment and that the prediction quality depends on the time of year with a determination coefficient of 0.9972, 0.9856, 0.9487 and 0.9942 for summer, autumn, winter and spring respectively.","Karami E,Rafi M,Ridah A",,2019,2019,https://doi.org/10.1145/3368756.3369084;http://dx.doi.org/10.1145/3368756.3369084,output pv power prediction using an artificial neural network in casablanca morocco,0
23,Worst-Case Dynamic Power Distribution Network Noise Prediction Using Convolutional Neural Network,"9,78145E+12",,10.1145/3489517.3530600,https://doi.org/10.1145/3489517.3530600;http://dx.doi.org/10.1145/3489517.3530600,Proceedings of the 59th ACM/IEEE Design Automation Conference,"Worst-case dynamic PDN noise analysis is an essential step in PDN sign-off to ensure the performance and reliability of chips. However, with the growing PDN size and increasing scenarios to be validated, it becomes very time- and resource-consuming to conduct full-stack PDN simulation to check the worst-case noise for different test vectors. Recently, various works have proposed machine learning based methods for supply noise prediction, many of which still suffer from large training overhead, inefficiency, or non-scalability. Thus, this paper proposed an efficient and scalable framework for the worst-case dynamic PDN noise prediction. The framework first reduces the spatial and temporal redundancy in the PDN and input current vector, and then employs efficient feature extraction as well as a novel convolutional neural network architecture to predict the worst-case dynamic PDN noise. Experimental results show that the proposed framework consistently outperforms the commercial tool and the state-of-the-art machine learning method with only 0.63--1.02% mean relative error and 25--69× speedup.","Dong X,Chen Y,Yin X,Zhuo C",,2022,2022,https://doi.org/10.1145/3489517.3530600;http://dx.doi.org/10.1145/3489517.3530600,worst case dynamic power distribution network noise prediction using convolutional neural network,0
