;title;link;authors;date;pub_info;result_id;keep_dupl
82;Energy prediction under changed demand conditions: Robust machine learning models and input feature combinations;https://graz.pure.elsevier.com/en/publications/energy-prediction-under-changed-demand-conditions-robust-machine-;Schranz, Thomas, Johannes Exenberger, Christian Møldrup Legaard, Jan Drgona, and Gerald Schweiger.;2021;T Schranz, J Exenberger, CM Legaard… - … Conference of the …, 2021 - graz.pure.elsevier.com;7r8Rm4u5iTcJ;1
204;Energy prediction under changed demand conditions: robust machine learning models and input feature combinations;https://publications.ibpsa.org/conference/paper/?id=bs2021_30806;Combinations, Input Feature, Thomas Schranz, Johannes Exenberger, Christian Møldrup Legaard, and Ján Drgona.;;T Schranz, J Exenberger… - Building …, 2021 - publications.ibpsa.org;p_IEzkO2XZgJ;0
108;Machine Learning Assisted Characteristics Prediction for Wireless Power Transfer Systems;https://ieeexplore.ieee.org/abstract/document/9756526/;Al Mahmud, Shamsul Arefeen, Prasad Jayathurathnage, and Sergei A. Tretyakov.;2022;SA Al Mahmud, P Jayathurathnage… - IEEE Access, 2022 - ieeexplore.ieee.org;sEWLYk6ilbIJ;1
263;Machine Learning Assisted Characteristics Prediction for Wireless Power Transfer Systems;https://aaltodoc.aalto.fi/handle/123456789/114386;;;SAA Mahmud, P Jayathurathnage, SA Tretyakov - 2022 - aaltodoc.aalto.fi;W2pfAzHWXZcJ;0
165;Energy consumption clustering using machine learning: K-means approach;https://ieeexplore.ieee.org/abstract/document/9677130/;Al Skaif, Aghyad, Mohammad Ayache, and Hussein Kanaan.;2021;A Al Skaif, M Ayache, H Kanaan - 2021 22nd International Arab …, 2021 - ieeexplore.ieee.org;AWeIPk6WGlQJ;1
280;Energy consumption clustering using machine learning: K-means approach;https://www.researchgate.net/profile/Hussein-Kanaan/publication/357907768_1_Energy_consumption_clustering_using_machine_learning_K-means_approach/links/61ea58669a753545e2e6854b/1-Energy-consumption-clustering-using-machine-learning-K-means-approach;Kanaan, Hussein, Mohammad Ayache, and Eng Aghyad Al Skaif.;;H Kanaan, M Ayache, EA Al Skaif - researchgate.net;tQZh3yosupAJ;0
291;Power consumption reduction method by classifying individual differences using machine learning;https://cir.nii.ac.jp/crid/1050011097135704704;Toshiyuki, Kantake, and Sugaya Midori.;2018;K Toshiyuki, S Midori - Proceedings of Asia Pacific Conference on Robot …, 2018 - cir.nii.ac.jp;BJtw4qukyCEJ;1
298;Power consumption reduction method by classifying individual differences using machine learning;https://ipsj.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=192971&item_no=1&page_id=13&block_id=8;Kantake, Toshiyuki, and Midori Sugaya.;;T Kantake, M Sugaya - ipsj.ixsq.nii.ac.jp;t39D1r5sdSQJ;0
303;Prediction of Received Signal Power in wireless communications using Machine Learning algorithms;http://ikee.lib.auth.gr/record/306735;Καρρά, Δέσποινα Παναγιώτη.;2019;ΔΠ Καρρά - 2019 - ikee.lib.auth.gr;j3-fc8nVOQAJ;1
305;Prediction of Received Signal Power in wireless communications using Machine Learning algorithms;https://ikee.lib.auth.gr/record/306735/files/GRI-2019-25392.pdf;Karra, Despoina, and Sotirios Goudos.;;D Karra, S Goudos - ikee.lib.auth.gr;_UQL-0rk_QUJ;0
388;Deep learning to estimate power output from breathing;https://www.duo.uio.no/handle/10852/87270;Husom, Erik Johannes Bjørnson LG.;;EJBLG Husom - 2021 - duo.uio.no;Fj31NQuATMgJ;0
389;Deep learning to estimate power output from breathing;https://erikjohannes.no/posts/20210618-master-thesis/husom_erik_johannes_master_thesis.pdf;Grüner, Erik Johannes Bjørnson Løvenskiold.;2021;EJBL Grüner - 2021 - erikjohannes.no;JtbmmyEMj3EJ;1
424;Hybridizing deep learning and neuroevolution: application to the Spanish short-term electric energy consumption forecasting;https://www.mdpi.com/792320;Divina, Federico, José Francisco Torres Maldonado, Miguel García-Torres, Francisco Martínez-Álvarez, and Alicia Troncoso.;2020;F Divina, JF Torres Maldonado, M García-Torres… - Applied Sciences, 2020 - mdpi.com;uye_fJ4cYMoJ;1
507;Hybridizing Deep Learning and Neuroevolution: Application to the Spanish Short-Term Electric Energy Consumption Forecasting;http://repositorio.conacyt.gov.py/handle/20.500.14066/3783;Torres, José F., Federico Divina, Miguel García Torres, Francisco Martínez Alvarez, and Alicia Troncoso.;2020;JF Torres, F Divina, M García Torres… - Aplied …, 2020 - repositorio.conacyt.gov.py;-55en_8-p5kJ;0
508;Hybridizing Deep Learning and Neuroevolution: Application to the Spanish Short-Term Electric Energy Consumption Forecasting.;https://repositorio.conacyt.gov.py/bitstream/handle/20.500.14066/4172/PINV18-661pps6.pdf?sequence=1;García Torres, Miguel.;2020;M García Torres - UACon 21, 2020 - repositorio.conacyt.gov.py;Ge0EaL43NoUJ;0
550;Architecture-level energy estimation for heterogeneous computing systems;https://ieeexplore.ieee.org/abstract/document/9408176/;Wang, Francis, Yannan Nellie Wu, Matthew Woicik, Joel S. Emer, and Vivienne Sze.;2021;F Wang, YN Wu, M Woicik, JS Emer… - 2021 IEEE International …, 2021 - ieeexplore.ieee.org;V0Qh_4Zt1v0J;1
582;Architecture-Level Energy Estimation for Heterogeneous Computing Systems;http://accelergy.mit.edu/ispass2021/hetergeneous_computing_abstract.pdf;Matthew, Francis Wang Yannan Nellie Wu, and Woicik Joel S. Emer Vivienne Sze.;;FWYNW Matthew, WJSEV Sze - accelergy.mit.edu;ERQNz0Sce34J;0
571;Measuring and tuning energy efficiency on large scale high performance computing platforms.;https://www.osti.gov/biblio/1035312;Laros III, James H. Measuring and tuning energy efficiency on large scale high performance computing platforms.;2011;JH Laros III - 2011 - osti.gov;d-jFTk3RUwQJ;1
573;Measuring and tuning energy efficiency on large scale high performance computing platforms;https://digitalrepository.unm.edu/ece_etds/150/;;;JH Laros III - 2012 - digitalrepository.unm.edu;9Xg_EUZ2insJ;0
