,title,link,abstract,authors,keywords,date,isbn,doi,pub_info,title_lower,keep_title,bib,result_id,article,publisher,journal_or_book,count,data_source
21,Estimation of Remaining Useful Lifetime of Power Electronic Components with Machine Learning based on Mission Profile Data,https://www.sciencedirect.com/science/article/pii/S2772370423000081,,,,,,,"D Bhat, S Muench, M Roellig - Power Electronic Devices and Components, 2023 - Elsevier",estimation of remaining useful lifetime of power electronic components with machine learning based on mission profile data,1,0,tOnoLuJ-VtkJ,,,,1,scholar
40,Energy Consumption Estimation And Management With Machine Learning Regression Techniques,https://www.researchgate.net/profile/Amine-Toprak/publication/363452077_Energy_Consumption_Estimation_And_Management_With_Machine_Learning_Regression_Techniques/links/631c8d8670cc936cd3f9baaf/Energy-Consumption-Estimation-And-Management-With-Machine-Learning-Regression-Techniques.pdf,,,,,,,"AG TOPRAK, S ŞAHİN, AY MUTLU - researchgate.net",energy consumption estimation and management with machine learning regression techniques,1,0,FTZ1J4vTrL8J,,,,1,scholar
56,Genetic algorithm based optimized feature engineering and hybrid machine learning for effective energy consumption prediction,https://ieeexplore.ieee.org/abstract/document/9240924/,,,,,,,"PW Khan, YC Byun - IEEE Access, 2020 - ieeexplore.ieee.org",genetic algorithm based optimized feature engineering and hybrid machine learning for effective energy consumption prediction,1,0,yQYNdWA8ayIJ,,,,1,scholar
111,… nonlinear displacement ratio prediction of self-centering energy-absorbing dual rocking core system under near-fault ground motions using machine learning,https://www.tandfonline.com/doi/abs/10.1080/13632469.2021.2009060,,,,,,,"S Hu, W Wang, MS Alam - Journal of Earthquake Engineering, 2021 - Taylor & Francis",nonlinear displacement ratio prediction of self centering energy absorbing dual rocking core system under near fault ground motions using machine learning,1,0,3YdcgzONjocJ,,,,1,scholar
177,Modeling Energy Consumption Using Machine Learning,https://www.frontiersin.org/articles/10.3389/fmtec.2022.855208/full,,,,,,,"SA Sarswatula, T Pugh, V Prabhu - Frontiers in Manufacturing …, 2022 - frontiersin.org",modeling energy consumption using machine learning,1,0,V8m4cwThhWEJ,,,,1,scholar
199,Improving energy consumption in iterative problems using machine learning,https://link.springer.com/chapter/10.1007/978-3-030-43222-5_12,,,,,,,"A Cabrera, F Almeida, V Blanco… - Parallel Processing and …, 2020 - Springer",improving energy consumption in iterative problems using machine learning,1,0,WeOqcGHMvGsJ,,,,1,scholar
210,IoT-Based Energy Saving Recommendations by Classification of Energy Consumption Using Machine Learning Techniques,https://link.springer.com/chapter/10.1007/978-981-16-7088-6_73,,,,,,,"GSN Dhipti, B Swathi, EV Reddy… - Soft Computing and Signal …, 2022 - Springer",iot based energy saving recommendations by classification of energy consumption using machine learning techniques,1,0,aeMjfSmqLZcJ,,,,1,scholar
263,Machine Learning Assisted Characteristics Prediction for Wireless Power Transfer Systems,https://aaltodoc.aalto.fi/handle/123456789/114386,,,,,,,"SAA Mahmud, P Jayathurathnage, SA Tretyakov - 2022 - aaltodoc.aalto.fi",machine learning assisted characteristics prediction for wireless power transfer systems,1,0,W2pfAzHWXZcJ,,,,2,scholar
321,Predicting -decay energy with machine learning,https://journals.aps.org/prc/abstract/10.1103/PhysRevC.107.034308,,,,,,,"JM Munoz, S Akkoyun, ZP Reyes, LA Pachon - Physical Review C, 2023 - APS",predicting decay energy with machine learning,1,0,VA-zsVNB-H8J,,,,1,scholar
326,Predicting Site Energy Usage Intensity Using Machine Learning Models,https://www.mdpi.com/article/10.3390/s23010082,,,,,,,"S Ngnamsie Njimbouom, K Lee, H Lee, J Kim - Sensors, 2023 - mdpi.com",predicting site energy usage intensity using machine learning models,1,0,fMtc2g91cOIJ,,,,1,scholar
